symbol,type,lag,value,ci_upper,ci_lower
BTCUSDT,acf,1,-0.022187,0.0297,-0.0297
BTCUSDT,acf,2,0.011081,0.0297,-0.0297
BTCUSDT,acf,3,0.010542,0.0297,-0.0297
BTCUSDT,acf,4,0.010141,0.0297,-0.0297
BTCUSDT,acf,5,0.009704,0.0297,-0.0297
BTCUSDT,acf,6,0.037383,0.0297,-0.0297
BTCUSDT,acf,7,-0.016082,0.0297,-0.0297
BTCUSDT,acf,8,-0.027132,0.0297,-0.0297
BTCUSDT,acf,9,0.001633,0.0297,-0.0297
BTCUSDT,acf,10,0.035117,0.0297,-0.0297
BTCUSDT,acf,11,0.006059,0.0297,-0.0297
BTCUSDT,acf,12,-0.0076,0.0297,-0.0297
BTCUSDT,acf,13,0.012351,0.0297,-0.0297
BTCUSDT,acf,14,0.007188,0.0297,-0.0297
BTCUSDT,acf,15,0.008618,0.0297,-0.0297
BTCUSDT,acf,16,-0.00176,0.0297,-0.0297
BTCUSDT,acf,17,0.032442,0.0297,-0.0297
BTCUSDT,acf,18,0.00778,0.0297,-0.0297
BTCUSDT,acf,19,0.0193,0.0297,-0.0297
BTCUSDT,acf,20,0.019808,0.0297,-0.0297
BTCUSDT,acf,21,-0.029936,0.0297,-0.0297
BTCUSDT,acf,22,-0.007738,0.0297,-0.0297
BTCUSDT,acf,23,-0.02611,0.0297,-0.0297
BTCUSDT,acf,24,0.020856,0.0297,-0.0297
BTCUSDT,acf,25,0.005826,0.0297,-0.0297
BTCUSDT,acf,26,0.016655,0.0297,-0.0297
BTCUSDT,acf,27,0.00973,0.0297,-0.0297
BTCUSDT,acf,28,0.006741,0.0297,-0.0297
BTCUSDT,acf,29,-0.021866,0.0297,-0.0297
BTCUSDT,acf,30,0.003307,0.0297,-0.0297
BTCUSDT,pacf,1,-0.022187,0.0297,-0.0297
BTCUSDT,pacf,2,0.010594,0.0297,-0.0297
BTCUSDT,pacf,3,0.011027,0.0297,-0.0297
BTCUSDT,pacf,4,0.010506,0.0297,-0.0297
BTCUSDT,pacf,5,0.009933,0.0297,-0.0297
BTCUSDT,pacf,6,0.03751,0.0297,-0.0297
BTCUSDT,pacf,7,-0.014873,0.0297,-0.0297
BTCUSDT,pacf,8,-0.029019,0.0297,-0.0297
BTCUSDT,pacf,9,-0.0003,0.0297,-0.0297
BTCUSDT,pacf,10,0.035351,0.0297,-0.0297
BTCUSDT,pacf,11,0.007822,0.0297,-0.0297
BTCUSDT,pacf,12,-0.008683,0.0297,-0.0297
BTCUSDT,pacf,13,0.01283,0.0297,-0.0297
BTCUSDT,pacf,14,0.008989,0.0297,-0.0297
BTCUSDT,pacf,15,0.007046,0.0297,-0.0297
BTCUSDT,pacf,16,-0.005315,0.0297,-0.0297
BTCUSDT,pacf,17,0.032681,0.0297,-0.0297
BTCUSDT,pacf,18,0.011658,0.0297,-0.0297
BTCUSDT,pacf,19,0.017894,0.0297,-0.0297
BTCUSDT,pacf,20,0.017791,0.0297,-0.0297
BTCUSDT,pacf,21,-0.030492,0.0297,-0.0297
BTCUSDT,pacf,22,-0.009441,0.0297,-0.0297
BTCUSDT,pacf,23,-0.029845,0.0297,-0.0297
BTCUSDT,pacf,24,0.019246,0.0297,-0.0297
BTCUSDT,pacf,25,0.008219,0.0297,-0.0297
BTCUSDT,pacf,26,0.01791,0.0297,-0.0297
BTCUSDT,pacf,27,0.012344,0.0297,-0.0297
BTCUSDT,pacf,28,0.006158,0.0297,-0.0297
BTCUSDT,pacf,29,-0.023977,0.0297,-0.0297
BTCUSDT,pacf,30,-0.003893,0.0297,-0.0297
ETHUSDT,acf,1,-0.037115,0.034616,-0.034616
ETHUSDT,acf,2,0.045678,0.034616,-0.034616
ETHUSDT,acf,3,0.011178,0.034616,-0.034616
ETHUSDT,acf,4,0.027812,0.034616,-0.034616
ETHUSDT,acf,5,0.000422,0.034616,-0.034616
ETHUSDT,acf,6,0.046096,0.034616,-0.034616
ETHUSDT,acf,7,-0.009238,0.034616,-0.034616
ETHUSDT,acf,8,-0.030053,0.034616,-0.034616
ETHUSDT,acf,9,-0.00993,0.034616,-0.034616
