symbol,n_days,holding_days,sample_size,mean_return,median_return,win_rate,sharpe_ratio,max_drawdown,avg_drawdown,best_return,worst_return,std_return
BTCUSDT,2,1,945,0.001811,0.002504,0.5534,0.7714,-0.187411,-0.025227,0.178217,-0.187411,0.037274
BTCUSDT,2,3,945,0.004701,0.005404,0.5683,1.2298,-0.372664,-0.042927,0.274669,-0.372664,0.060686
BTCUSDT,2,7,944,0.009078,0.007529,0.5456,1.5355,-0.36715,-0.063358,0.414847,-0.36715,0.093856
BTCUSDT,3,1,422,0.004329,0.003716,0.5806,1.7865,-0.181788,-0.02485,0.155763,-0.181788,0.038462
BTCUSDT,3,3,422,0.005784,0.007318,0.59,1.4283,-0.372664,-0.045737,0.274669,-0.372664,0.06429
BTCUSDT,3,7,421,0.006661,0.00641,0.5321,1.0787,-0.36715,-0.066087,0.414847,-0.36715,0.098035
BTCUSDT,4,1,177,0.006771,0.004973,0.6215,2.7462,-0.159747,-0.024672,0.154724,-0.159747,0.039139
BTCUSDT,4,3,177,0.006023,0.00943,0.6102,1.3662,-0.2966,-0.053473,0.229488,-0.2966,0.069984
BTCUSDT,4,7,176,0.005437,0.009973,0.5568,0.7899,-0.339342,-0.079855,0.414847,-0.339342,0.109262
BTCUSDT,5,1,67,0.003131,0.004877,0.6269,1.2064,-0.159747,-0.030503,0.102389,-0.159747,0.041194
BTCUSDT,5,3,67,-0.002554,0.00943,0.5672,-0.6082,-0.21699,-0.054161,0.198655,-0.21699,0.066654
BTCUSDT,5,7,66,-0.001781,0.008534,0.5303,-0.2397,-0.329439,-0.08989,0.358478,-0.329439,0.117969
ETHUSDT,2,1,712,0.001604,0.004163,0.5632,0.496,-0.423472,-0.036972,0.253136,-0.423472,0.051328
ETHUSDT,2,3,712,-8.5e-05,0.003251,0.5323,-0.0156,-0.367235,-0.064672,0.425487,-0.367235,0.086164
ETHUSDT,2,7,712,0.001471,0.001214,0.507,0.1851,-0.411965,-0.089581,0.676138,-0.411965,0.126152
ETHUSDT,3,1,311,0.001084,0.005134,0.5595,0.324,-0.186866,-0.03923,0.253136,-0.186866,0.053125
ETHUSDT,3,3,311,-0.00444,0.003009,0.5241,-0.8182,-0.276545,-0.069933,0.369324,-0.276545,0.086143
ETHUSDT,3,7,311,-0.005099,-0.003886,0.4759,-0.6461,-0.403444,-0.091222,0.486214,-0.403444,0.125283
ETHUSDT,4,1,137,-0.005097,0.001221,0.5182,-1.4349,-0.174564,-0.046155,0.181149,-0.174564,0.056393
ETHUSDT,4,3,137,-0.010694,-0.002908,0.4964,-1.8729,-0.276545,-0.078838,0.207991,-0.276545,0.090642
ETHUSDT,4,7,137,-0.011754,-0.008919,0.4307,-1.3939,-0.350421,-0.094128,0.486214,-0.350421,0.133858
ETHUSDT,5,1,66,-2.6e-05,0.006121,0.5606,-0.007,-0.166504,-0.044523,0.181149,-0.166504,0.057714
ETHUSDT,5,3,66,-0.014121,-0.00557,0.4697,-2.4921,-0.25093,-0.076535,0.207991,-0.25093,0.089953
ETHUSDT,5,7,66,-0.006389,-0.006958,0.4394,-0.7049,-0.350421,-0.093999,0.486214,-0.350421,0.143874
SOLUSDT,2,1,560,0.002702,-0.000184,0.4964,0.7161,-0.422809,-0.037837,0.286975,-0.422809,0.059907
SOLUSDT,2,3,560,0.007816,0.001426,0.5161,1.2036,-0.402682,-0.06449,0.754796,-0.402682,0.103081
SOLUSDT,2,7,558,0.015564,0.002008,0.5072,1.6119,-0.547199,-0.091499,1.104293,-0.547199,0.153283
SOLUSDT,3,1,282,0.001746,0.001634,0.5284,0.4504,-0.422809,-0.041118,0.268316,-0.422809,0.061527
SOLUSDT,3,3,282,0.006747,0.008312,0.5532,1.0757,-0.332482,-0.069627,0.459477,-0.332482,0.099577
SOLUSDT,3,7,281,0.010717,0.010094,0.5338,1.2565,-0.547199,-0.097023,0.465242,-0.547199,0.135403
SOLUSDT,4,1,133,0.001454,0.006191,0.5338,0.3789,-0.245304,-0.044507,0.268316,-0.245304,0.060939
SOLUSDT,4,3,133,0.003492,0.010675,0.5639,0.5855,-0.332482,-0.07499,0.254623,-0.332482,0.094676
SOLUSDT,4,7,133,0.026026,0.024722,0.5639,2.9851,-0.225131,-0.097249,0.411384,-0.225131,0.138405
SOLUSDT,5,1,62,0.005077,0.008047,0.5645,1.301,-0.245304,-0.048672,0.12998,-0.245304,0.061942
SOLUSDT,5,3,62,0.017014,0.018982,0.6129,2.5589,-0.29376,-0.083215,0.254623,-0.29376,0.105551
SOLUSDT,5,7,62,0.054071,0.052496,0.629,5.3355,-0.225131,-0.11035,0.411384,-0.225131,0.160875
