symbol,threshold,n_events,recovered_count,dnr_count,recovery_rate,median_days,mean_days,p25_days,p75_days,max_days
BTCUSDT,-0.05,256,132,124,0.5156,22.0,29.2,8.8,44.5,85
BTCUSDT,-0.1,198,87,111,0.4394,31.0,37.0,15.5,54.0,88
BTCUSDT,-0.15,156,57,99,0.3654,36.0,40.8,18.0,61.0,88
BTCUSDT,-0.2,114,33,81,0.2895,42.0,43.5,25.0,63.0,86
ETHUSDT,-0.05,203,84,119,0.4138,16.5,25.8,6.8,35.0,89
ETHUSDT,-0.1,169,55,114,0.3254,23.0,30.4,10.0,42.5,85
ETHUSDT,-0.15,137,35,102,0.2555,33.0,39.5,18.5,60.0,86
ETHUSDT,-0.2,113,23,90,0.2035,44.0,45.4,30.0,60.5,89
SOLUSDT,-0.05,146,77,69,0.5274,20.0,26.1,6.0,40.0,82
SOLUSDT,-0.1,130,61,69,0.4692,26.0,33.1,12.0,50.0,89
SOLUSDT,-0.15,112,51,61,0.4554,33.0,35.6,16.0,52.0,88
SOLUSDT,-0.2,97,38,59,0.3918,34.0,37.7,21.2,52.5,89
