symbol,test_year,n_test,xgb_auc,lgb_auc,ens_auc,dir_acc,rmse
BTCUSDT,2019,365,0.5304,0.5449,0.5354,0.5397,0.1331
BTCUSDT,2020,366,0.5552,0.5656,0.5577,0.4891,0.1187
BTCUSDT,2021,365,0.5292,0.5339,0.5318,0.5123,0.1256
BTCUSDT,2022,365,0.4905,0.4884,0.4911,0.4493,0.0963
BTCUSDT,2023,365,0.4911,0.4813,0.4831,0.4795,0.0783
BTCUSDT,2024,366,0.5518,0.5864,0.5709,0.6066,0.0737
BTCUSDT,2025,365,0.5159,0.5198,0.5199,0.5123,0.0595
BTCUSDT,2026,219,0.5754,0.6044,0.5884,0.5388,0.0669
ETHUSDT,2019,365,0.4152,0.4272,0.4191,0.4904,0.1469
ETHUSDT,2020,366,0.4947,0.485,0.4907,0.4071,0.2097
ETHUSDT,2021,365,0.4725,0.4972,0.4843,0.4712,0.1805
ETHUSDT,2022,365,0.5418,0.5174,0.5311,0.463,0.1286
ETHUSDT,2023,365,0.5327,0.5548,0.5461,0.5041,0.0734
ETHUSDT,2024,366,0.5869,0.5712,0.5812,0.5574,0.097
ETHUSDT,2025,365,0.5956,0.542,0.5722,0.5205,0.1042
ETHUSDT,2026,219,0.6175,0.6273,0.6281,0.4658,0.0893
SOLUSDT,2022,365,0.5094,0.525,0.5192,0.4301,0.2036
SOLUSDT,2023,365,0.5163,0.543,0.534,0.4932,0.2017
SOLUSDT,2024,366,0.5006,0.4867,0.4921,0.5191,0.1247
SOLUSDT,2025,365,0.5626,0.5731,0.5692,0.5562,0.1147
SOLUSDT,2026,219,0.4211,0.4356,0.4319,0.4018,0.1011
