symbol,factor,factor_name,mean_ic,std_ic,ic_ir,n_years,n_positive,rating,ic_by_year
BTCUSDT,f1_cont,F1 RSI Intensity,0.0041,0.0898,0.046,10,4,Noise,"{""2017"": -0.0318, ""2018"": 0.1115, ""2019"": -0.0857, ""2020"": -0.122, ""2021"": -0.0394, ""2022"": 0.1908, ""2023"": 0.002, ""2024"": -0.0102, ""2025"": 0.0707, ""2026"": -0.045}"
BTCUSDT,f2_cont,F2 Bollinger Position,0.0013,0.0824,0.015,10,6,Noise,"{""2017"": -0.0588, ""2018"": 0.0119, ""2019"": -0.0452, ""2020"": -0.143, ""2021"": 0.0532, ""2022"": 0.1245, ""2023"": 0.0219, ""2024"": 0.0374, ""2025"": 0.1093, ""2026"": -0.0985}"
BTCUSDT,f5_cont,F5 Month Seasonality,0.1225,0.1139,1.076,10,8,Strong,"{""2017"": 0.2049, ""2018"": 0.2237, ""2019"": 0.1482, ""2020"": 0.2186, ""2021"": 0.0329, ""2022"": 0.1092, ""2023"": -0.0709, ""2024"": 0.234, ""2025"": -0.0747, ""2026"": 0.1993}"
BTCUSDT,f6_cont,F6 HMM Regime,0.0169,0.0706,0.24,10,5,Weak,"{""2017"": 0.0905, ""2018"": -0.0314, ""2019"": -0.0109, ""2020"": 0.0982, ""2021"": 0.0174, ""2022"": -0.0774, ""2023"": 0.001, ""2024"": -0.048, ""2025"": -0.0266, ""2026"": 0.1566}"
BTCUSDT,f7_cont,F7 Volume Direction,0.0312,0.0805,0.387,10,6,Weak,"{""2017"": 0.0076, ""2018"": 0.111, ""2019"": -0.1069, ""2020"": -0.001, ""2021"": 0.092, ""2022"": 0.0222, ""2023"": -0.0139, ""2024"": 0.1017, ""2025"": -0.0653, ""2026"": 0.1643}"
BTCUSDT,f8_cont,F8 Price Momentum,-0.0188,0.0714,-0.263,10,3,Weak,"{""2017"": -0.0182, ""2018"": -0.082, ""2019"": -0.0826, ""2020"": 0.1031, ""2021"": -0.0259, ""2022"": -0.1383, ""2023"": -0.0073, ""2024"": -0.05, ""2025"": 0.0331, ""2026"": 0.0805}"
BTCUSDT,f9_cont,F9 Funding Rate,0.1534,0.1087,1.412,8,7,Strong,"{""2019"": 0.2911, ""2020"": 0.1975, ""2021"": 0.1331, ""2022"": 0.0798, ""2023"": 0.0842, ""2024"": -0.052, ""2025"": 0.2058, ""2026"": 0.2875}"
BTCUSDT,f11_cont,F11 Active Addresses,0.0065,0.1026,0.063,10,5,Noise,"{""2017"": -0.0365, ""2018"": 0.0766, ""2019"": -0.1257, ""2020"": 0.1463, ""2021"": 0.0113, ""2022"": 0.1328, ""2023"": 0.1045, ""2024"": -0.1641, ""2025"": -0.005, ""2026"": -0.0755}"
BTCUSDT,f12_cont,F12 Turbulence Calm,-0.0083,0.0561,-0.148,6,2,Noise,"{""2021"": -0.0249, ""2022"": 0.0248, ""2023"": -0.0876, ""2024"": -0.0393, ""2025"": 0.0926, ""2026"": -0.0155}"
BTCUSDT,f13_cont,F13 MVRV,0.1679,0.0949,1.77,10,9,Strong,"{""2017"": 0.1735, ""2018"": 0.2658, ""2019"": 0.1812, ""2020"": -0.0, ""2021"": 0.0263, ""2022"": 0.2399, ""2023"": 0.1711, ""2024"": 0.1618, ""2025"": 0.1317, ""2026"": 0.3273}"
BTCUSDT,f14_cont,F14 FR Trend,0.0602,0.0447,1.347,8,7,Strong,"{""2019"": 0.0645, ""2020"": 0.0654, ""2021"": 0.0285, ""2022"": 0.1116, ""2023"": 0.0527, ""2024"": -0.0293, ""2025"": 0.125, ""2026"": 0.0629}"
ETHUSDT,f1_cont,F1 RSI Intensity,0.0553,0.1481,0.373,10,7,Weak,"{""2017"": 0.4769, ""2018"": -0.0516, ""2019"": 0.0346, ""2020"": 0.0463, ""2021"": 0.0105, ""2022"": 0.0574, ""2023"": 0.0451, ""2024"": 0.0522, ""2025"": -0.0839, ""2026"": -0.0348}"
ETHUSDT,f2_cont,F2 Bollinger Position,0.0555,0.2059,0.27,10,5,Weak,"{""2017"": 0.6441, ""2018"": -0.1055, ""2019"": -0.0203, ""2020"": -0.0306, ""2021"": 0.0077, ""2022"": 0.0068, ""2023"": 0.112, ""2024"": 0.0681, ""2025"": -0.0332, ""2026"": -0.0941}"
ETHUSDT,f5_cont,F5 Month Seasonality,0.1241,0.091,1.364,10,9,Strong,"{""2017"": 0.2134, ""2018"": 0.1124, ""2019"": 0.0601, ""2020"": 0.2276, ""2021"": 0.1301, ""2022"": 0.2091, ""2023"": -0.0207, ""2024"": 0.0141, ""2025"": 0.0513, ""2026"": 0.2433}"
ETHUSDT,f6_cont,F6 HMM Regime,-0.0162,0.0956,-0.169,10,6,Noise,"{""2017"": -0.2541, ""2018"": 0.0552, ""2019"": 0.069, ""2020"": -0.0766, ""2021"": -0.0324, ""2022"": 0.0455, ""2023"": -0.0822, ""2024"": 0.0462, ""2025"": 0.0062, ""2026"": 0.0616}"
ETHUSDT,f7_cont,F7 Volume Direction,0.0284,0.1111,0.256,10,7,Weak,"{""2017"": -0.247, ""2018"": 0.1723, ""2019"": -0.0281, ""2020"": 0.1452, ""2021"": 0.0008, ""2022"": 0.0607, ""2023"": -0.0153, ""2024"": 0.1003, ""2025"": 0.0635, ""2026"": 0.0319}"
ETHUSDT,f8_cont,F8 Price Momentum,0.003,0.09,0.034,10,5,Noise,"{""2017"": 0.0918, ""2018"": -0.0031, ""2019"": -0.173, ""2020"": 0.0396, ""2021"": -0.0209, ""2022"": -0.0722, ""2023"": 0.0074, ""2024"": -0.0796, ""2025"": 0.1074, ""2026"": 0.1328}"
ETHUSDT,f9_cont,F9 Funding Rate,0.0764,0.0857,0.892,8,7,Moderate,"{""2019"": 0.0728, ""2020"": 0.1001, ""2021"": 0.0229, ""2022"": 0.0362, ""2023"": 0.0008, ""2024"": -0.0198, ""2025"": 0.1335, ""2026"": 0.2646}"
ETHUSDT,f12_cont,F12 Turbulence Calm,-0.0152,0.088,-0.172,6,3,Noise,"{""2021"": -0.1526, ""2022"": 0.0605, ""2023"": -0.0672, ""2024"": -0.0647, ""2025"": 0.1078, ""2026"": 0.0251}"
ETHUSDT,f13_cont,F13 MVRV,0.2085,0.1177,1.772,10,10,Strong,"{""2017"": 0.4773, ""2018"": 0.1066, ""2019"": 0.1399, ""2020"": 0.133, ""2021"": 0.0951, ""2022"": 0.2763, ""2023"": 0.2254, ""2024"": 0.1787, ""2025"": 0.112, ""2026"": 0.3409}"
ETHUSDT,f14_cont,F14 FR Trend,0.0637,0.0597,1.066,8,7,Strong,"{""2019"": 0.0503, ""2020"": 0.0967, ""2021"": 0.0798, ""2022"": 0.0616, ""2023"": 0.1505, ""2024"": 0.1012, ""2025"": -0.0681, ""2026"": 0.0375}"
SOLUSDT,f1_cont,F1 RSI Intensity,0.0197,0.1121,0.175,7,5,Noise,"{""2020"": 0.0528, ""2021"": -0.203, ""2022"": 0.1153, ""2023"": -0.0869, ""2024"": 0.0832, ""2025"": 0.047, ""2026"": 0.1292}"
SOLUSDT,f2_cont,F2 Bollinger Position,-0.0077,0.0959,-0.08,7,4,Noise,"{""2020"": 0.114, ""2021"": -0.1763, ""2022"": 0.08, ""2023"": -0.1064, ""2024"": -0.0279, ""2025"": 0.0411, ""2026"": 0.0219}"
SOLUSDT,f5_cont,F5 Month Seasonality,0.044,0.112,0.393,7,5,Weak,"{""2020"": 0.0567, ""2021"": -0.0646, ""2022"": 0.1344, ""2023"": 0.1403, ""2024"": 0.1828, ""2025"": 0.009, ""2026"": -0.1507}"
SOLUSDT,f6_cont,F6 HMM Regime,-0.0254,0.1123,-0.226,7,2,Weak,"{""2020"": -0.1854, ""2021"": 0.1932, ""2022"": -0.0723, ""2023"": 0.0642, ""2024"": -0.0471, ""2025"": -0.0873, ""2026"": -0.0431}"
SOLUSDT,f7_cont,F7 Volume Direction,0.0289,0.0838,0.345,7,4,Weak,"{""2020"": -0.0956, ""2021"": 0.0845, ""2022"": -0.0419, ""2023"": 0.0686, ""2024"": 0.1218, ""2025"": -0.0551, ""2026"": 0.1197}"
SOLUSDT,f8_cont,F8 Price Momentum,0.0089,0.0706,0.126,7,3,Noise,"{""2020"": -0.0268, ""2021"": 0.0979, ""2022"": -0.0492, ""2023"": 0.0742, ""2024"": -0.0517, ""2025"": 0.0939, ""2026"": -0.0758}"
SOLUSDT,f9_cont,F9 Funding Rate,0.0859,0.1256,0.684,7,5,Moderate,"{""2020"": 0.2694, ""2021"": -0.1327, ""2022"": 0.0753, ""2023"": 0.2056, ""2024"": 0.108, ""2025"": -0.0305, ""2026"": 0.1062}"
SOLUSDT,f12_cont,F12 Turbulence Calm,-0.0528,0.0844,-0.625,6,2,Moderate,"{""2021"": -0.1965, ""2022"": -0.0156, ""2023"": -0.1344, ""2024"": -0.0274, ""2025"": 0.0374, ""2026"": 0.0199}"
SOLUSDT,f13_cont,F13 MVRV,0.0426,0.2157,0.198,7,4,Noise,"{""2020"": -0.2058, ""2021"": -0.2659, ""2022"": 0.2016, ""2023"": -0.0903, ""2024"": 0.1606, ""2025"": 0.1336, ""2026"": 0.3647}"
SOLUSDT,f14_cont,F14 FR Trend,0.0106,0.1157,0.091,7,2,Noise,"{""2020"": 0.2785, ""2021"": -0.0065, ""2022"": -0.0258, ""2023"": 0.0196, ""2024"": -0.0612, ""2025"": -0.0233, ""2026"": -0.1073}"
