symbol,lag,lb_stat,lb_pvalue
BTCUSDT,1,2.276,0.131394
BTCUSDT,2,2.8102,0.245341
BTCUSDT,3,3.2726,0.35147
BTCUSDT,4,3.7253,0.444457
BTCUSDT,5,4.1367,0.529902
BTCUSDT,6,10.2638,0.113972
BTCUSDT,7,11.3918,0.12242
BTCUSDT,8,14.5995,0.067416
BTCUSDT,9,14.6121,0.102156
BTCUSDT,10,20.0489,0.028794
BTCUSDT,11,20.2104,0.042537
BTCUSDT,12,20.4625,0.058828
BTCUSDT,13,21.1208,0.070573
BTCUSDT,14,21.3508,0.092975
BTCUSDT,15,21.6704,0.116741
BTCUSDT,16,21.6853,0.153648
BTCUSDT,17,26.2968,0.069221
BTCUSDT,18,26.5551,0.087727
BTCUSDT,19,28.1897,0.079845
BTCUSDT,20,29.9616,0.070478
ETHUSDT,1,4.6143,0.031707
ETHUSDT,2,11.3094,0.003501
ETHUSDT,3,11.7036,0.008471
ETHUSDT,4,14.192,0.006707
ETHUSDT,5,14.1926,0.014431
ETHUSDT,6,21.0254,0.001815
ETHUSDT,7,21.3005,0.00335
ETHUSDT,8,24.203,0.002119
ETHUSDT,9,24.5218,0.003548
ETHUSDT,10,28.8818,0.001302
ETHUSDT,11,28.9169,0.002338
ETHUSDT,12,29.1144,0.003789
ETHUSDT,13,31.2499,0.003099
ETHUSDT,14,31.59,0.004579
ETHUSDT,15,32.1783,0.006088
ETHUSDT,16,32.7526,0.007968
ETHUSDT,17,36.8496,0.003527
ETHUSDT,18,37.9644,0.003916
ETHUSDT,19,40.5218,0.002793
ETHUSDT,20,40.6311,0.004153
SOLUSDT,1,0.9611,0.32691
SOLUSDT,2,1.0121,0.602871
SOLUSDT,3,2.1096,0.549982
SOLUSDT,4,7.17,0.127175
SOLUSDT,5,7.7822,0.168657
SOLUSDT,6,11.1837,0.082863
SOLUSDT,7,16.3468,0.02213
SOLUSDT,8,18.9531,0.015113
SOLUSDT,9,20.3051,0.01612
SOLUSDT,10,24.2838,0.006882
SOLUSDT,11,24.2901,0.011564
SOLUSDT,12,26.9459,0.007867
SOLUSDT,13,29.0684,0.006401
SOLUSDT,14,29.0777,0.0102
SOLUSDT,15,35.013,0.002449
SOLUSDT,16,36.7833,0.002249
SOLUSDT,17,36.9289,0.003441
SOLUSDT,18,38.9172,0.002924
SOLUSDT,19,44.5146,0.000801
SOLUSDT,20,45.2069,0.001034
