symbol,test_year,n_train,n_test,auc,dir_acc,train_start,train_end
BTCUSDT,2019,419,365,0.6033,0.4627,2017-11-01,2018-12-24
BTCUSDT,2020,784,366,0.3732,0.3929,2017-11-01,2019-12-24
BTCUSDT,2021,1150,365,0.4993,0.5075,2017-11-01,2020-12-24
BTCUSDT,2022,1515,365,0.49,0.4269,2017-11-01,2021-12-24
BTCUSDT,2023,1880,365,0.537,0.5164,2017-11-01,2022-12-24
BTCUSDT,2024,2245,366,0.5487,0.4673,2017-11-01,2023-12-24
BTCUSDT,2025,2611,365,0.5585,0.4985,2017-11-01,2024-12-24
BTCUSDT,2026,2976,221,0.5882,0.5236,2017-11-01,2025-12-24
ETHUSDT,2020,756,366,0.5305,0.3958,2017-11-29,2019-12-24
ETHUSDT,2021,1122,365,0.4893,0.5134,2017-11-29,2020-12-24
ETHUSDT,2022,1487,365,0.6441,0.5761,2017-11-29,2021-12-24
ETHUSDT,2023,1852,365,0.4671,0.4358,2017-11-29,2022-12-24
ETHUSDT,2024,2217,366,0.5082,0.4881,2017-11-29,2023-12-24
ETHUSDT,2025,2583,365,0.5734,0.5134,2017-11-29,2024-12-24
ETHUSDT,2026,2948,221,0.6243,0.5759,2017-11-29,2025-12-24
SOLUSDT,2022,452,365,0.5115,0.3642,2020-09-29,2021-12-24
SOLUSDT,2023,817,365,0.566,0.5731,2020-09-29,2022-12-24
SOLUSDT,2024,1182,366,0.5048,0.5446,2020-09-29,2023-12-24
SOLUSDT,2025,1548,365,0.5214,0.5313,2020-09-29,2024-12-24
SOLUSDT,2026,1913,221,0.4021,0.4346,2020-09-29,2025-12-24
