symbol,date,mvrv,f13_norm
BTCUSDT,2014-01-01 00:00:00+00:00,2.79859382,0.2338
BTCUSDT,2014-01-02 00:00:00+00:00,2.90688604,0.1977
BTCUSDT,2014-01-03 00:00:00+00:00,2.97276592,0.1757
BTCUSDT,2014-01-04 00:00:00+00:00,3.00082617,0.1664
BTCUSDT,2014-01-05 00:00:00+00:00,3.23751863,0.0875
BTCUSDT,2014-01-06 00:00:00+00:00,3.25855458,0.0805
BTCUSDT,2014-01-07 00:00:00+00:00,2.85648041,0.2145
BTCUSDT,2014-01-08 00:00:00+00:00,2.89105715,0.203
BTCUSDT,2014-01-09 00:00:00+00:00,2.91922133,0.1936
BTCUSDT,2014-01-10 00:00:00+00:00,2.98942387,0.1702
BTCUSDT,2014-01-11 00:00:00+00:00,3.08800818,0.1373
BTCUSDT,2014-01-12 00:00:00+00:00,2.92251348,0.1925
BTCUSDT,2014-01-13 00:00:00+00:00,2.83904175,0.2203
BTCUSDT,2014-01-14 00:00:00+00:00,2.80186801,0.2327
BTCUSDT,2014-01-15 00:00:00+00:00,2.87183201,0.2094
BTCUSDT,2014-01-16 00:00:00+00:00,2.77584537,0.2414
BTCUSDT,2014-01-17 00:00:00+00:00,2.69438096,0.2685
BTCUSDT,2014-01-18 00:00:00+00:00,2.74847429,0.2505
BTCUSDT,2014-01-19 00:00:00+00:00,2.83776277,0.2207
BTCUSDT,2014-01-20 00:00:00+00:00,2.79830469,0.2339
BTCUSDT,2014-01-21 00:00:00+00:00,2.77609902,0.2413
BTCUSDT,2014-01-22 00:00:00+00:00,2.75067841,0.2498
BTCUSDT,2014-01-23 00:00:00+00:00,2.72035724,0.2599
BTCUSDT,2014-01-24 00:00:00+00:00,2.61463948,0.2951
BTCUSDT,2014-01-25 00:00:00+00:00,2.68630023,0.2712
BTCUSDT,2014-01-26 00:00:00+00:00,2.7159709,0.2613
BTCUSDT,2014-01-27 00:00:00+00:00,2.47713004,0.341
BTCUSDT,2014-01-28 00:00:00+00:00,2.62930512,0.2902
BTCUSDT,2014-01-29 00:00:00+00:00,2.63373693,0.2888
BTCUSDT,2014-01-30 00:00:00+00:00,2.64884556,0.2837
BTCUSDT,2014-01-31 00:00:00+00:00,2.65797129,0.2807
BTCUSDT,2014-02-01 00:00:00+00:00,2.67963991,0.2735
BTCUSDT,2014-02-02 00:00:00+00:00,2.68024654,0.2733
BTCUSDT,2014-02-03 00:00:00+00:00,2.65176796,0.2827
BTCUSDT,2014-02-04 00:00:00+00:00,2.627458,0.2908
BTCUSDT,2014-02-05 00:00:00+00:00,2.49283475,0.3357
BTCUSDT,2014-02-06 00:00:00+00:00,2.4248508,0.3584
