row_type,label,value,extra
weights,BTC,0.5656,
weights,ETH,0.0,
weights,SOL,0.4344,
minvol_weights,BTC,1.0,
minvol_weights,ETH,0.0,
minvol_weights,SOL,0.0,
asset_stats,BTC,0.7019,"vol=0.6154,sharpe=1.1406"
asset_stats,ETH,0.8365,"vol=0.7931,sharpe=1.0548"
asset_stats,SOL,1.6564,"vol=1.2204,sharpe=1.3573"
history,2023-01-01,100.0,100.0
history,2023-01-02,104.82,105.83
history,2023-01-03,111.72,114.82
history,2023-01-04,113.55,115.84
history,2023-01-05,113.28,115.68
history,2023-01-06,114.39,116.53
history,2023-01-07,112.8,114.66
history,2023-01-08,117.82,120.46
history,2023-01-09,125.6,129.45
history,2023-01-10,126.16,129.84
history,2023-01-11,129.11,132.21
history,2023-01-12,132.68,136.52
history,2023-01-13,141.28,147.32
history,2023-01-14,166.07,176.89
history,2023-01-15,161.34,170.58
history,2023-01-16,164.94,174.63
history,2023-01-17,162.36,171.58
history,2023-01-18,153.17,161.12
history,2023-01-19,156.92,164.98
history,2023-01-20,176.85,188.33
history,2023-01-21,173.07,184.67
history,2023-01-22,171.67,182.75
history,2023-01-23,172.51,184.03
history,2023-01-24,164.71,176.21
history,2023-01-25,173.14,185.58
history,2023-01-26,171.99,184.33
history,2023-01-27,172.14,184.73
history,2023-01-28,169.9,182.72
history,2023-01-29,180.62,194.61
history,2023-01-30,169.26,181.91
history,2023-01-31,170.41,182.96
history,2023-02-01,176.59,189.48
history,2023-02-02,173.7,185.45
history,2023-02-03,175.64,187.18
history,2023-02-04,174.25,185.2
history,2023-02-05,169.76,180.34
history,2023-02-06,166.32,176.25
history,2023-02-07,172.73,182.99
history,2023-02-08,169.26,178.97
history,2023-02-09,154.96,163.23
history,2023-02-10,152.68,161.26
history,2023-02-11,156.15,165.05
history,2023-02-12,157.5,167.65
history,2023-02-13,154.98,164.67
history,2023-02-14,160.64,170.57
history,2023-02-15,174.95,186.64
history,2023-02-16,167.31,177.35
history,2023-02-17,173.65,184.39
history,2023-02-18,174.76,186.01
history,2023-02-19,178.4,190.87
history,2023-02-20,184.47,198.41
history,2023-02-21,178.32,191.71
history,2023-02-22,174.86,187.52
history,2023-02-23,173.65,185.48
history,2023-02-24,168.13,179.24
history,2023-02-25,165.95,176.86
history,2023-02-26,170.44,181.36
history,2023-02-27,168.3,178.78
history,2023-02-28,164.17,174.12
history,2023-03-01,168.74,178.39
history,2023-03-02,166.2,175.54
history,2023-03-03,159.85,169.21
history,2023-03-04,158.32,167.29
history,2023-03-05,158.46,167.62
history,2023-03-06,157.38,166.11
history,2023-03-07,155.51,163.69
history,2023-03-08,147.64,154.05
history,2023-03-09,138.56,144.6
history,2023-03-10,141.06,148.07
history,2023-03-11,143.38,149.51
history,2023-03-12,156.4,163.79
history,2023-03-13,163.39,171.25
history,2023-03-14,166.78,175.26
history,2023-03-15,159.26,166.88
history,2023-03-16,162.67,171.09
history,2023-03-17,176.96,187.42
history,2023-03-18,173.74,183.98
history,2023-03-19,178.92,190.71
history,2023-03-20,177.89,190.97
history,2023-03-21,182.17,194.29
history,2023-03-22,174.71,186.38
history,2023-03-23,181.41,193.08
history,2023-03-24,172.81,183.52
history,2023-03-25,171.8,182.52
history,2023-03-26,175.46,186.52
history,2023-03-27,168.55,179.03
history,2023-03-28,172.23,181.85
history,2023-03-29,177.1,188.32
history,2023-03-30,174.59,184.81
history,2023-03-31,178.36,189.02
history,2023-04-01,177.35,187.94
history,2023-04-02,174.96,185.31
history,2023-04-03,174.23,183.51
history,2023-04-04,178.28,186.89
history,2023-04-05,179.5,187.1
history,2023-04-06,177.04,185.1
history,2023-04-07,176.13,184.09
history,2023-04-08,174.28,182.27
history,2023-04-09,176.2,184.73
history,2023-04-10,182.23,191.76
history,2023-04-11,190.01,203.04
history,2023-04-12,193.83,206.91
history,2023-04-13,198.4,209.74
history,2023-04-14,202.18,211.52
history,2023-04-15,199.27,207.93
history,2023-04-16,204.31,213.51
history,2023-04-17,198.67,207.05
history,2023-04-18,202.35,211.57
history,2023-04-19,187.38,196.9
history,2023-04-20,184.64,192.62
history,2023-04-21,177.09,185.4
history,2023-04-22,180.65,189.58
history,2023-04-23,178.73,187.35
history,2023-04-24,177.77,186.73
history,2023-04-25,181.79,191.73
history,2023-04-26,179.87,189.32
history,2023-04-27,186.67,197.49
history,2023-04-28,189.38,201.5
history,2023-04-29,189.04,200.39
history,2023-04-30,187.02,198.94
history,2023-05-01,180.59,191.25
history,2023-05-02,183.78,194.47
history,2023-05-03,185.21,195.37
history,2023-05-04,182.52,192.71
history,2023-05-05,190.81,199.81
history,2023-05-06,184.07,193.96
history,2023-05-07,181.98,191.87
history,2023-05-08,175.83,184.12
history,2023-05-09,175.83,184.11
history,2023-05-10,176.49,185.16
history,2023-05-11,171.57,179.92
history,2023-05-12,173.76,182.2
history,2023-05-13,173.24,181.94
history,2023-05-14,173.94,182.81
history,2023-05-15,175.12,183.93
history,2023-05-16,173.89,181.97
history,2023-05-17,175.85,184.9
history,2023-05-18,171.76,179.84
history,2023-05-19,172.18,180.04
history,2023-05-20,172.66,180.58
history,2023-05-21,169.21,176.35
history,2023-05-22,169.54,176.39
history,2023-05-23,172.99,179.85
history,2023-05-24,166.96,173.25
history,2023-05-25,167.53,173.89
history,2023-05-26,169.0,175.18
history,2023-05-27,172.9,180.29
history,2023-05-28,178.8,186.06
history,2023-05-29,176.92,183.98
history,2023-05-30,179.28,186.74
history,2023-05-31,176.13,183.23
history,2023-06-01,173.92,180.47
history,2023-06-02,178.56,185.21
history,2023-06-03,177.45,184.18
history,2023-06-04,179.71,187.21
history,2023-06-05,168.97,175.0
history,2023-06-06,175.04,181.44
history,2023-06-07,165.91,170.72
history,2023-06-08,167.54,172.47
history,2023-06-09,162.21,165.72
history,2023-06-10,152.75,156.08
history,2023-06-11,152.63,155.96
history,2023-06-12,151.05,154.25
history,2023-06-13,150.38,153.53
history,2023-06-14,144.56,148.52
history,2023-06-15,146.79,151.24
history,2023-06-16,151.55,156.19
history,2023-06-17,153.35,158.3
history,2023-06-18,152.11,156.78
history,2023-06-19,155.74,161.3
history,2023-06-20,162.09,168.77
history,2023-06-21,170.32,177.25
history,2023-06-22,167.53,174.19
history,2023-06-23,171.35,179.06
history,2023-06-24,168.93,176.4
history,2023-06-25,170.53,177.55
history,2023-06-26,166.63,173.79
history,2023-06-27,169.48,176.73
history,2023-06-28,164.44,171.93
history,2023-06-29,172.46,181.78
history,2023-06-30,177.87,185.92
history,2023-07-01,177.14,185.38
history,2023-07-02,180.13,188.83
history,2023-07-03,180.99,189.73
history,2023-07-04,179.39,188.01
history,2023-07-05,177.63,186.46
history,2023-07-06,177.16,187.61
history,2023-07-07,184.5,196.72
history,2023-07-08,185.51,198.18
history,2023-07-09,183.49,195.55
history,2023-07-10,184.35,196.23
history,2023-07-11,187.3,200.32
history,2023-07-12,186.29,199.04
history,2023-07-13,205.71,220.34
history,2023-07-14,203.93,219.55
history,2023-07-15,205.82,222.27
history,2023-07-16,205.49,222.08
history,2023-07-17,203.24,219.5
history,2023-07-18,197.83,212.74
history,2023-07-19,200.47,216.54
history,2023-07-20,196.95,211.78
history,2023-07-21,197.78,212.92
history,2023-07-22,193.38,208.06
history,2023-07-23,195.46,210.13
history,2023-07-24,187.92,201.01
history,2023-07-25,187.9,200.74
history,2023-07-26,194.89,209.43
history,2023-07-27,194.02,208.6
history,2023-07-28,193.79,207.87
history,2023-07-29,195.12,209.4
history,2023-07-30,191.38,205.18
history,2023-07-31,189.34,202.67
history,2023-08-01,191.59,205.4
history,2023-08-02,186.78,199.9
history,2023-08-03,185.03,197.78
history,2023-08-04,185.14,198.11
history,2023-08-05,184.74,197.29
history,2023-08-06,186.37,199.7
history,2023-08-07,186.25,199.67
history,2023-08-08,192.04,206.63
history,2023-08-09,192.14,206.66
history,2023-08-10,192.56,207.23
history,2023-08-11,192.3,206.99
history,2023-08-12,193.47,208.46
history,2023-08-13,190.72,205.12
history,2023-08-14,194.11,209.47
history,2023-08-15,188.99,203.23
history,2023-08-16,183.84,196.92
history,2023-08-17,172.72,185.19
history,2023-08-18,169.58,181.47
history,2023-08-19,171.72,183.99
history,2023-08-20,171.98,183.85
history,2023-08-21,169.48,181.17
history,2023-08-22,166.15,177.98
history,2023-08-23,172.08,184.37
history,2023-08-24,168.76,180.54
history,2023-08-25,166.2,177.36
history,2023-08-26,165.56,176.74
history,2023-08-27,167.73,179.22
history,2023-08-28,166.85,178.28
history,2023-08-29,176.34,189.12
history,2023-08-30,171.63,183.54
history,2023-08-31,163.57,174.1
history,2023-09-01,161.47,171.89
history,2023-09-02,162.4,172.84
history,2023-09-03,162.86,173.55
history,2023-09-04,162.1,172.67
history,2023-09-05,164.73,175.93
history,2023-09-06,162.46,173.0
history,2023-09-07,164.76,175.83
history,2023-09-08,162.8,173.42
history,2023-09-09,162.24,172.72
history,2023-09-10,157.61,167.3
history,2023-09-11,152.75,162.8
history,2023-09-12,155.87,165.91
history,2023-09-13,158.67,169.32
history,2023-09-14,161.28,172.27
history,2023-09-15,162.93,173.94
history,2023-09-16,162.57,173.68
history,2023-09-17,161.13,172.22
history,2023-09-18,164.73,176.56
history,2023-09-19,167.08,179.77
history,2023-09-20,167.25,180.67
history,2023-09-21,162.29,175.15
history,2023-09-22,162.42,175.02
history,2023-09-23,162.56,175.17
history,2023-09-24,161.22,173.64
history,2023-09-25,161.61,173.91
history,2023-09-26,160.32,171.98
history,2023-09-27,161.06,172.9
history,2023-09-28,166.7,178.78
history,2023-09-29,168.04,179.9
history,2023-09-30,171.9,184.85
history,2023-10-01,183.83,198.93
history,2023-10-02,179.42,195.37
history,2023-10-03,179.63,195.82
history,2023-10-04,178.76,195.3
history,2023-10-05,175.48,192.03
history,2023-10-06,179.93,197.02
history,2023-10-07,179.21,196.49
history,2023-10-08,178.98,196.2
history,2023-10-09,173.01,190.1
history,2023-10-10,172.25,189.38
history,2023-10-11,170.84,187.2
history,2023-10-12,167.51,183.72
history,2023-10-13,169.85,186.41
history,2023-10-14,170.53,187.18
history,2023-10-15,170.9,187.8
history,2023-10-16,181.69,201.39
history,2023-10-17,180.43,200.94
history,2023-10-18,178.45,198.35
history,2023-10-19,184.36,206.23
history,2023-10-20,194.33,218.63
history,2023-10-21,203.34,229.67
history,2023-10-22,203.27,228.4
history,2023-10-23,221.7,251.17
history,2023-10-24,218.19,246.55
history,2023-10-25,227.19,258.65
history,2023-10-26,228.0,258.84
history,2023-10-27,223.38,253.49
history,2023-10-28,223.36,253.72
history,2023-10-29,228.69,260.34
history,2023-10-30,236.17,269.53
history,2023-10-31,248.55,285.57
history,2023-11-01,260.77,300.99
history,2023-11-02,254.29,293.84
history,2023-11-03,252.48,290.14
history,2023-11-04,263.31,303.64
history,2023-11-05,260.55,298.7
history,2023-11-06,263.66,302.54
history,2023-11-07,267.37,308.11
history,2023-11-08,268.15,309.26
history,2023-11-09,284.18,322.6
history,2023-11-10,321.65,373.45
history,2023-11-11,318.78,370.5
history,2023-11-12,318.57,370.44
history,2023-11-13,303.56,350.07
history,2023-11-14,315.98,368.25
history,2023-11-15,351.98,414.07
history,2023-11-16,320.16,374.85
history,2023-11-17,322.88,378.72
history,2023-11-18,323.24,379.1
history,2023-11-19,335.85,394.37
history,2023-11-20,320.05,373.52
history,2023-11-21,299.22,348.14
