symbol,date,regime,close,rsi14
BTCUSDT,2014-09-17,unknown,457.33,
BTCUSDT,2014-09-18,unknown,424.44,0.0
BTCUSDT,2014-09-19,unknown,394.8,0.0
BTCUSDT,2014-09-20,unknown,408.9,3.22
BTCUSDT,2014-09-21,unknown,398.82,3.14
BTCUSDT,2014-09-22,unknown,402.15,3.96
BTCUSDT,2014-09-23,unknown,435.79,12.11
BTCUSDT,2014-09-24,unknown,423.2,11.71
BTCUSDT,2014-09-25,unknown,411.57,11.33
BTCUSDT,2014-09-26,unknown,404.42,11.1
BTCUSDT,2014-09-27,unknown,399.52,10.93
BTCUSDT,2014-09-28,unknown,377.18,10.18
BTCUSDT,2014-09-29,unknown,375.47,10.13
BTCUSDT,2014-09-30,unknown,386.94,13.64
BTCUSDT,2014-10-01,unknown,383.61,13.47
BTCUSDT,2014-10-02,unknown,375.07,13.04
BTCUSDT,2014-10-03,unknown,359.51,12.26
BTCUSDT,2014-10-04,unknown,328.87,10.89
BTCUSDT,2014-10-05,unknown,320.51,10.54
BTCUSDT,2014-10-06,unknown,330.08,13.92
BTCUSDT,2014-10-07,unknown,336.19,16.1
BTCUSDT,2014-10-08,unknown,352.94,21.94
BTCUSDT,2014-10-09,unknown,365.03,25.94
BTCUSDT,2014-10-10,unknown,361.56,25.54
BTCUSDT,2014-10-11,unknown,362.3,25.81
BTCUSDT,2014-10-12,unknown,378.55,31.59
BTCUSDT,2014-10-13,unknown,390.41,35.53
BTCUSDT,2014-10-14,unknown,400.87,38.88
BTCUSDT,2014-10-15,unknown,394.77,37.65
BTCUSDT,2014-10-16,unknown,382.56,35.25
BTCUSDT,2014-10-17,unknown,383.76,35.69
BTCUSDT,2014-10-18,unknown,391.44,38.53
BTCUSDT,2014-10-19,unknown,389.55,38.08
BTCUSDT,2014-10-20,unknown,382.85,36.47
BTCUSDT,2014-10-21,unknown,386.48,38.0
BTCUSDT,2014-10-22,unknown,383.16,37.12
BTCUSDT,2014-10-23,unknown,358.42,31.3
BTCUSDT,2014-10-24,unknown,358.35,31.28
BTCUSDT,2014-10-25,unknown,347.27,28.93
BTCUSDT,2014-10-26,unknown,354.7,32.6
BTCUSDT,2014-10-27,unknown,352.99,32.18
BTCUSDT,2014-10-28,unknown,357.62,34.59
BTCUSDT,2014-10-29,unknown,335.59,29.27
BTCUSDT,2014-10-30,unknown,345.3,34.08
BTCUSDT,2014-10-31,unknown,338.32,32.38
BTCUSDT,2014-11-01,unknown,325.75,29.51
BTCUSDT,2014-11-02,unknown,325.89,29.59
BTCUSDT,2014-11-03,unknown,327.55,30.53
BTCUSDT,2014-11-04,unknown,330.49,32.25
BTCUSDT,2014-11-05,unknown,339.49,37.38
BTCUSDT,2014-11-06,unknown,349.29,42.49
BTCUSDT,2014-11-07,unknown,342.42,40.02
BTCUSDT,2014-11-08,unknown,345.49,41.65
BTCUSDT,2014-11-09,unknown,363.26,50.1
BTCUSDT,2014-11-10,unknown,366.92,51.65
BTCUSDT,2014-11-11,unknown,367.7,51.99
BTCUSDT,2014-11-12,unknown,423.56,68.96
BTCUSDT,2014-11-13,unknown,420.73,67.66
BTCUSDT,2014-11-14,unknown,397.82,58.07
BTCUSDT,2014-11-15,unknown,376.13,50.75
BTCUSDT,2014-11-16,unknown,387.88,54.13
BTCUSDT,2014-11-17,unknown,387.41,53.97
BTCUSDT,2014-11-18,unknown,375.2,49.86
BTCUSDT,2014-11-19,unknown,380.55,51.6
BTCUSDT,2014-11-20,unknown,357.84,44.54
BTCUSDT,2014-11-21,unknown,350.85,42.61
BTCUSDT,2014-11-22,unknown,352.92,43.39
BTCUSDT,2014-11-23,unknown,367.57,48.72
BTCUSDT,2014-11-24,unknown,376.9,51.83
BTCUSDT,2014-11-25,unknown,375.35,51.28
BTCUSDT,2014-11-26,unknown,368.37,48.74
BTCUSDT,2014-11-27,unknown,369.67,49.24
BTCUSDT,2014-11-28,unknown,376.45,51.9
BTCUSDT,2014-11-29,unknown,375.49,51.49
BTCUSDT,2014-11-30,unknown,378.05,52.57
BTCUSDT,2014-12-01,unknown,379.24,53.09
BTCUSDT,2014-12-02,unknown,381.32,54.04
BTCUSDT,2014-12-03,unknown,375.01,50.68
BTCUSDT,2014-12-04,unknown,369.6,47.93
BTCUSDT,2014-12-05,unknown,376.85,51.72
BTCUSDT,2014-12-06,unknown,374.79,50.59
BTCUSDT,2014-12-07,unknown,375.1,50.76
BTCUSDT,2014-12-08,unknown,361.91,43.72
BTCUSDT,2014-12-09,unknown,352.22,39.4
BTCUSDT,2014-12-10,unknown,346.36,37.02
BTCUSDT,2014-12-11,unknown,350.51,39.79
BTCUSDT,2014-12-12,unknown,352.54,41.16
BTCUSDT,2014-12-13,unknown,347.38,38.75
BTCUSDT,2014-12-14,unknown,351.63,41.78
BTCUSDT,2014-12-15,unknown,345.35,38.73
BTCUSDT,2014-12-16,unknown,327.06,31.54
BTCUSDT,2014-12-17,unknown,319.78,29.21
BTCUSDT,2014-12-18,unknown,311.4,26.76
