symbol,rsi_window,rsi_threshold,holding_days,sample_size,mean_return,median_return,win_rate,sharpe_ratio,sortino_ratio,skewness,kurtosis,max_drawdown,avg_drawdown
BTCUSDT,7,30,1,430,0.002027737863569188,0.004546757829484797,0.5767441860465117,0.627046578889336,0.6920399419968503,-1.1582932666120236,8.742025939424847,-0.37169538560117077,-0.03656687654259157
BTCUSDT,7,30,3,429,0.005241633567216806,0.010173655682955486,0.6037296037296037,1.0948421822789984,1.3731387784771638,-0.5176319176834548,3.390587386893805,-0.37266392171768337,-0.06094834896491919
BTCUSDT,7,30,7,429,0.011834781711369579,0.01160635706559982,0.5827505827505828,1.771121078344075,2.464852987795284,0.12485020436147407,2.514043696180324,-0.36714980578795764,-0.07381695064334672
BTCUSDT,7,20,1,110,0.0031095640156650704,0.004235458805957085,0.5363636363636364,0.7957312261891094,1.1200481968467286,-0.078999880813172,1.582116204391871,-0.21144862196566885,-0.04429821191302707
BTCUSDT,7,20,3,110,0.009608228111102665,0.008831425128303124,0.6,1.8785071715194004,3.0604248239354535,0.059369721355977206,0.3118560407506825,-0.1984865763162679,-0.06552784802239865
BTCUSDT,7,20,7,110,0.02114116455311926,0.02104189247260467,0.5818181818181818,2.73758203505591,4.285649223918326,0.4978560904497374,1.9439963660103827,-0.3013090768498817,-0.07758624633413033
BTCUSDT,14,30,1,170,0.008951362950164011,0.0056743032090468895,0.6,2.542193853545494,3.5009446176261934,0.03956281592716006,2.4706146099848323,-0.21144862196566885,-0.03718818144979214
BTCUSDT,14,30,3,170,0.017929692219620725,0.016423385102210277,0.6352941176470588,3.485709175106656,5.492091369032554,0.11443383100138718,0.8340618581923778,-0.2031632831163756,-0.060261700590180406
BTCUSDT,14,30,7,170,0.03472285723118197,0.027140682299091716,0.6235294117647059,4.820938694011218,7.8418067942305205,0.46884828162014763,1.725042019834563,-0.3013090768498817,-0.064457897151207
BTCUSDT,14,20,1,31,0.009600951857320987,0.0017907574452630214,0.5161290322580645,2.3812942938280592,4.454963282520065,0.6707440988387086,0.7474259226235294,-0.1072781383913814,-0.03751766023635072
BTCUSDT,14,20,3,31,-0.00896187315870496,-0.002473494821632426,0.45161290322580644,-1.5173532533133784,-2.2022711134087145,-0.28861570936800124,-0.9158295462571386,-0.1984865763162679,-0.07677732098321308
BTCUSDT,14,20,7,31,-0.001450736880064386,0.005702225094391243,0.5161290322580645,-0.16398844880618477,-0.22849727058272673,-0.17507683055773918,-0.10353782925323562,-0.3013090768498817,-0.10915964709605444
ETHUSDT,7,30,1,360,0.0014822703395371182,0.003784116800169983,0.5444444444444444,0.3720342069154702,0.4814884847804507,-0.5793155333635068,6.3426472459943986,-0.423472214652933,-0.04625061846741093
ETHUSDT,7,30,3,360,-0.0015719118618343878,0.004956862858154172,0.5305555555555556,-0.2646940659617256,-0.34681365845739376,-0.5158531961907822,2.3827967961220615,-0.44378848194687537,-0.07529881298842778
ETHUSDT,7,30,7,360,-0.0010601968484456696,0.0060438459142988805,0.5222222222222223,-0.12320979509763172,-0.17001805190815364,-0.06636964883889933,1.7335781762108438,-0.45240911038562326,-0.10419031512877668
ETHUSDT,7,20,1,107,-0.0012263957801731346,-0.003258066051964366,0.4953271028037383,-0.28097441283274244,-0.4682728032420646,0.27991761093733775,0.37832653720638953,-0.16650362093294369,-0.05339944589207764
ETHUSDT,7,20,3,107,-0.017819620365439902,-0.008262905518349085,0.4766355140186916,-2.899641254103327,-4.703260144391617,-0.09399901382039093,-0.6613417537881103,-0.2509295968809111,-0.09457859795995274
ETHUSDT,7,20,7,107,-0.023080211576759494,-0.008883776478833188,0.4485981308411215,-2.8991242663153423,-3.8830333306448965,-0.4531366445880458,0.1546494446489719,-0.3504213110474876,-0.1100330728907818
ETHUSDT,14,30,1,160,-0.003342746940518311,0.0003387521665255663,0.5,-0.8204165493024034,-1.3145493101887626,0.36777793820746885,1.016432374918761,-0.16650362093294369,-0.05068896893920951
ETHUSDT,14,30,3,160,-0.013550586582062676,-0.012694345056332261,0.44375,-2.2186308232845,-3.4879244838367747,0.01494999298168005,-0.22278227042047938,-0.2509295968809111,-0.08209331207982112
ETHUSDT,14,30,7,160,-0.00954597071731402,-0.0038629618309563183,0.4875,-1.04004878756828,-1.576650553169868,0.2303880089682016,1.1250251410803038,-0.3504213110474876,-0.11523238669011045
ETHUSDT,14,20,1,25,0.011226884619787235,0.012304098317250989,0.6,2.5012758928748497,4.2868967876865085,0.2579218301109124,0.021190687082478288,-0.12626779386504122,-0.05182038811449843
ETHUSDT,14,20,3,25,0.022426869026907978,0.028737524213323033,0.64,3.844679927633916,6.965307596767812,-0.001900255348053763,-0.2803491257313131,-0.15062176175872896,-0.07289606460545002
ETHUSDT,14,20,7,25,-0.0006002677979301902,-0.0005246560155207153,0.48,-0.09177041190671195,-0.12741821903563516,-0.14863386796615483,1.784099387685294,-0.27377243594300643,-0.07144124361967731
SOLUSDT,7,30,1,249,0.0031875094216183494,0.0020014509538097917,0.5140562248995983,0.6976600579136937,0.9356352940000019,-0.2990170014573886,7.189626085319515,-0.4228090368113009,-0.04830746482970282
SOLUSDT,7,30,3,249,0.011993370137525283,0.008771802418104711,0.5421686746987951,1.6352461623258872,2.6413770478914422,0.5310182229773903,2.7904816932163,-0.332481697409339,-0.07903365081079797
SOLUSDT,7,30,7,249,0.028332580894415087,0.027523537670302023,0.5903614457831325,3.138533199984577,5.443556934451709,0.3423612141615658,1.2261765452583555,-0.40788590782901013,-0.09967044806432153
SOLUSDT,7,20,1,53,0.015746621352295986,0.018747717756851835,0.5849056603773585,3.4114037325054727,5.644819600891807,0.35834651174928406,2.0653299757546946,-0.15886680047139431,-0.04886377569357423
SOLUSDT,7,20,3,53,0.020183905538209267,0.023290898126345647,0.6226415094339622,3.136795605589672,4.2866417692146985,-0.07362732722965035,2.079797988779322,-0.2937595262441998,-0.07268460945429485
SOLUSDT,7,20,7,53,0.04613820861001303,0.04721665775696446,0.6226415094339622,5.115648365149935,10.477592437810165,0.5666973330408237,0.2350056383193424,-0.20223247996712257,-0.08615953227162035
SOLUSDT,14,30,1,92,0.007935596145653699,0.004712767204039195,0.532608695652174,1.511779642067359,2.4217444651262965,0.6528155335412884,4.163826990701473,-0.24795950211474507,-0.054729653968488175
SOLUSDT,14,30,3,92,0.026900429469258347,0.02071163984866983,0.5760869565217391,3.0272724206880564,6.37938214632012,0.9934235146802816,2.2099579898418686,-0.2937595262441998,-0.08843990722162531
SOLUSDT,14,30,7,92,0.057360057358627606,0.0283521433369927,0.6086956521739131,5.510036303187586,13.761155053178655,0.8120786428573807,0.5649362171474617,-0.2117697841545148,-0.08985382791949764
SOLUSDT,14,20,1,3,0.05482863961411764,0.06626209524762916,0.6666666666666666,12.390625438896492,,-0.713041375147348,,-0.0204315748608656,-0.0204315748608656
SOLUSDT,14,20,3,3,0.06998593693284029,0.05210536185759528,1.0,29.486482139622055,,1.6545891453115176,,0.0,0.0
SOLUSDT,14,20,7,3,0.053635484594651804,0.05138588816095637,1.0,16.14502649999747,,0.19160747105330267,,0.0,0.0
