symbol,test_year,n_train,n_test,auc,rmse,dir_acc,train_start,train_end,cv_method,row_type,feature,feature_name,importance,rank
BTCUSDT,2019.0,419.0,365.0,0.5309,0.13,0.5534,2017-11-01,2018-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2020.0,784.0,366.0,0.5799,0.1114,0.5574,2017-11-01,2019-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2021.0,1150.0,365.0,0.5759,0.1267,0.5397,2017-11-01,2020-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2022.0,1515.0,365.0,0.5025,0.0972,0.4548,2017-11-01,2021-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2023.0,1880.0,365.0,0.5842,0.0763,0.5151,2017-11-01,2022-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2024.0,2245.0,366.0,0.6188,0.0752,0.6339,2017-11-01,2023-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2025.0,2611.0,365.0,0.5062,0.0589,0.4986,2017-11-01,2024-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2026.0,2976.0,222.0,0.595,0.0681,0.545,2017-11-01,2025-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2019.0,391.0,365.0,0.405,0.1467,0.5068,2017-11-29,2018-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2020.0,756.0,366.0,0.4926,0.2022,0.418,2017-11-29,2019-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2021.0,1122.0,365.0,0.4764,0.1882,0.5041,2017-11-29,2020-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2022.0,1487.0,365.0,0.5451,0.1369,0.4575,2017-11-29,2021-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2023.0,1852.0,365.0,0.5651,0.0712,0.5151,2017-11-29,2022-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2024.0,2217.0,366.0,0.6444,0.0966,0.5656,2017-11-29,2023-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2025.0,2583.0,365.0,0.5681,0.1052,0.4849,2017-11-29,2024-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2026.0,2948.0,222.0,0.5937,0.0856,0.491,2017-11-29,2025-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2022.0,452.0,365.0,0.511,0.2084,0.389,2020-09-29,2021-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2023.0,817.0,365.0,0.5563,0.1978,0.4986,2020-09-29,2022-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2024.0,1182.0,366.0,0.4871,0.1316,0.5355,2020-09-29,2023-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2025.0,1548.0,365.0,0.5696,0.1119,0.5589,2020-09-29,2024-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2026.0,1913.0,222.0,0.4249,0.0983,0.464,2020-09-29,2025-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,,,,,,,,,,importance,f6_cont,HMM Regime (Bull prob),0.083,1.0
BTCUSDT,,,,,,,,,,importance,f5_cont,Month Seasonality,0.0702,2.0
BTCUSDT,,,,,,,,,,importance,f13_lag7,MVRV 7d ago,0.0652,3.0
BTCUSDT,,,,,,,,,,importance,f8_lag7,Momentum 7d ago,0.064,4.0
BTCUSDT,,,,,,,,,,importance,f1_cont,RSI (continuous),0.0619,5.0
BTCUSDT,,,,,,,,,,importance,f8_lag14,Momentum 14d ago,0.0617,6.0
BTCUSDT,,,,,,,,,,importance,f13_cont,MVRV Valuation,0.0583,7.0
BTCUSDT,,,,,,,,,,importance,f13_lag14,MVRV 14d ago,0.0574,8.0
BTCUSDT,,,,,,,,,,importance,f11_cont,Active Addresses,0.0564,9.0
BTCUSDT,,,,,,,,,,importance,f2_cont,Bollinger Position,0.0562,10.0
BTCUSDT,,,,,,,,,,importance,f12_cont,Turbulence Calm,0.0554,11.0
BTCUSDT,,,,,,,,,,importance,f14_lag7,FR Trend 7d ago,0.0552,12.0
BTCUSDT,,,,,,,,,,importance,f7_cont,Volume Direction,0.0545,13.0
BTCUSDT,,,,,,,,,,importance,f9_cont,Funding Rate,0.054,14.0
BTCUSDT,,,,,,,,,,importance,f8_cont,Price Momentum,0.0498,15.0
BTCUSDT,,,,,,,,,,importance,f12_lag7,Turbulence Calm 7d ago,0.0496,16.0
BTCUSDT,,,,,,,,,,importance,f14_cont,FR Trend (7d diff),0.047,17.0
ETHUSDT,,,,,,,,,,importance,f5_cont,Month Seasonality,0.0865,1.0
ETHUSDT,,,,,,,,,,importance,f8_lag14,Momentum 14d ago,0.0712,2.0
ETHUSDT,,,,,,,,,,importance,f13_lag14,MVRV 14d ago,0.0708,3.0
ETHUSDT,,,,,,,,,,importance,f13_lag7,MVRV 7d ago,0.0679,4.0
ETHUSDT,,,,,,,,,,importance,f9_cont,Funding Rate,0.0668,5.0
ETHUSDT,,,,,,,,,,importance,f1_cont,RSI (continuous),0.066,6.0
ETHUSDT,,,,,,,,,,importance,f14_cont,FR Trend (7d diff),0.0655,7.0
ETHUSDT,,,,,,,,,,importance,f8_lag7,Momentum 7d ago,0.0649,8.0
ETHUSDT,,,,,,,,,,importance,f6_cont,HMM Regime (Bull prob),0.064,9.0
ETHUSDT,,,,,,,,,,importance,f13_cont,MVRV Valuation,0.061,10.0
ETHUSDT,,,,,,,,,,importance,f14_lag7,FR Trend 7d ago,0.0564,11.0
ETHUSDT,,,,,,,,,,importance,f2_cont,Bollinger Position,0.0554,12.0
ETHUSDT,,,,,,,,,,importance,f8_cont,Price Momentum,0.0536,13.0
ETHUSDT,,,,,,,,,,importance,f7_cont,Volume Direction,0.0509,14.0
ETHUSDT,,,,,,,,,,importance,f12_cont,Turbulence Calm,0.05,15.0
ETHUSDT,,,,,,,,,,importance,f12_lag7,Turbulence Calm 7d ago,0.0492,16.0
SOLUSDT,,,,,,,,,,importance,f13_lag14,MVRV 14d ago,0.0799,1.0
SOLUSDT,,,,,,,,,,importance,f13_lag7,MVRV 7d ago,0.0774,2.0
SOLUSDT,,,,,,,,,,importance,f13_cont,MVRV Valuation,0.0773,3.0
SOLUSDT,,,,,,,,,,importance,f8_cont,Price Momentum,0.0713,4.0
SOLUSDT,,,,,,,,,,importance,f2_cont,Bollinger Position,0.0669,5.0
SOLUSDT,,,,,,,,,,importance,f14_cont,FR Trend (7d diff),0.0659,6.0
SOLUSDT,,,,,,,,,,importance,f8_lag7,Momentum 7d ago,0.0641,7.0
SOLUSDT,,,,,,,,,,importance,f1_cont,RSI (continuous),0.0631,8.0
SOLUSDT,,,,,,,,,,importance,f9_cont,Funding Rate,0.0612,9.0
SOLUSDT,,,,,,,,,,importance,f5_cont,Month Seasonality,0.0599,10.0
SOLUSDT,,,,,,,,,,importance,f8_lag14,Momentum 14d ago,0.0573,11.0
SOLUSDT,,,,,,,,,,importance,f7_cont,Volume Direction,0.0553,12.0
SOLUSDT,,,,,,,,,,importance,f12_cont,Turbulence Calm,0.0553,13.0
SOLUSDT,,,,,,,,,,importance,f12_lag7,Turbulence Calm 7d ago,0.0504,14.0
SOLUSDT,,,,,,,,,,importance,f6_cont,HMM Regime (Bull prob),0.0476,15.0
SOLUSDT,,,,,,,,,,importance,f14_lag7,FR Trend 7d ago,0.047,16.0
