symbol,type,lag,value,ci_upper,ci_lower
BTCUSDT,acf,1,-0.02292,0.029741,-0.029741
BTCUSDT,acf,2,0.01074,0.029741,-0.029741
BTCUSDT,acf,3,0.01041,0.029741,-0.029741
BTCUSDT,acf,4,0.01018,0.029741,-0.029741
BTCUSDT,acf,5,0.009853,0.029741,-0.029741
BTCUSDT,acf,6,0.037582,0.029741,-0.029741
BTCUSDT,acf,7,-0.01595,0.029741,-0.029741
BTCUSDT,acf,8,-0.027015,0.029741,-0.029741
BTCUSDT,acf,9,0.001919,0.029741,-0.029741
BTCUSDT,acf,10,0.035235,0.029741,-0.029741
BTCUSDT,acf,11,0.006126,0.029741,-0.029741
BTCUSDT,acf,12,-0.007729,0.029741,-0.029741
BTCUSDT,acf,13,0.012318,0.029741,-0.029741
BTCUSDT,acf,14,0.007068,0.029741,-0.029741
BTCUSDT,acf,15,0.008434,0.029741,-0.029741
BTCUSDT,acf,16,-0.001841,0.029741,-0.029741
BTCUSDT,acf,17,0.032492,0.029741,-0.029741
BTCUSDT,acf,18,0.007563,0.029741,-0.029741
BTCUSDT,acf,19,0.01972,0.029741,-0.029741
BTCUSDT,acf,20,0.020007,0.029741,-0.029741
BTCUSDT,acf,21,-0.029938,0.029741,-0.029741
BTCUSDT,acf,22,-0.00783,0.029741,-0.029741
BTCUSDT,acf,23,-0.025825,0.029741,-0.029741
BTCUSDT,acf,24,0.021057,0.029741,-0.029741
BTCUSDT,acf,25,0.005719,0.029741,-0.029741
BTCUSDT,acf,26,0.016898,0.029741,-0.029741
BTCUSDT,acf,27,0.010156,0.029741,-0.029741
BTCUSDT,acf,28,0.006944,0.029741,-0.029741
BTCUSDT,acf,29,-0.022075,0.029741,-0.029741
BTCUSDT,acf,30,0.002953,0.029741,-0.029741
BTCUSDT,pacf,1,-0.02292,0.029741,-0.029741
BTCUSDT,pacf,2,0.01022,0.029741,-0.029741
BTCUSDT,pacf,3,0.010895,0.029741,-0.029741
BTCUSDT,pacf,4,0.010562,0.029741,-0.029741
BTCUSDT,pacf,5,0.01011,0.029741,-0.029741
BTCUSDT,pacf,6,0.037742,0.029741,-0.029741
BTCUSDT,pacf,7,-0.014671,0.029741,-0.029741
BTCUSDT,pacf,8,-0.028897,0.029741,-0.029741
BTCUSDT,pacf,9,-6.4e-05,0.029741,-0.029741
BTCUSDT,pacf,10,0.035442,0.029741,-0.029741
BTCUSDT,pacf,11,0.007913,0.029741,-0.029741
BTCUSDT,pacf,12,-0.008795,0.029741,-0.029741
BTCUSDT,pacf,13,0.012786,0.029741,-0.029741
BTCUSDT,pacf,14,0.008879,0.029741,-0.029741
BTCUSDT,pacf,15,0.006854,0.029741,-0.029741
BTCUSDT,pacf,16,-0.005388,0.029741,-0.029741
BTCUSDT,pacf,17,0.032743,0.029741,-0.029741
BTCUSDT,pacf,18,0.011504,0.029741,-0.029741
