date,addr_count,ma30,ratio,f11_norm
2009-03-06 00:00:00+00:00,117.0,115.0,1.015,0.4699
2009-03-10 00:00:00+00:00,107.0,115.0,0.9325,0.6351
2009-03-15 00:00:00+00:00,123.0,115.0,1.0674,0.3652
2009-03-19 00:00:00+00:00,122.0,116.0,1.0553,0.3895
2009-03-23 00:00:00+00:00,130.0,116.0,1.1171,0.2657
2009-03-27 00:00:00+00:00,106.0,116.0,0.915,0.67
2009-03-31 00:00:00+00:00,111.0,116.0,0.96,0.5799
2009-04-04 00:00:00+00:00,113.0,116.0,0.9784,0.5433
2009-04-08 00:00:00+00:00,105.0,115.0,0.9127,0.6746
2009-04-12 00:00:00+00:00,120.0,115.0,1.0412,0.4176
2009-04-16 00:00:00+00:00,123.0,116.0,1.0644,0.3712
2009-04-20 00:00:00+00:00,121.0,116.0,1.0452,0.4096
2009-04-24 00:00:00+00:00,115.0,116.0,0.9936,0.5128
2009-04-28 00:00:00+00:00,117.0,116.0,1.0105,0.479
2009-05-02 00:00:00+00:00,130.0,116.0,1.118,0.2639
2009-05-06 00:00:00+00:00,135.0,117.0,1.1548,0.1903
2009-05-10 00:00:00+00:00,85.0,120.0,0.7103,1.0
2009-05-14 00:00:00+00:00,143.0,121.0,1.1815,0.137
2009-05-18 00:00:00+00:00,118.0,121.0,0.9728,0.5544
2009-05-22 00:00:00+00:00,62.0,120.0,0.5187,1.0
2009-05-26 00:00:00+00:00,125.0,117.0,1.0687,0.3626
2009-05-30 00:00:00+00:00,109.0,117.0,0.9327,0.6346
2009-06-03 00:00:00+00:00,72.0,115.0,0.6236,1.0
2009-06-08 00:00:00+00:00,82.0,114.0,0.7193,1.0
2009-06-12 00:00:00+00:00,86.0,112.0,0.7654,0.9693
2009-06-16 00:00:00+00:00,71.0,110.0,0.6443,1.0
2009-06-20 00:00:00+00:00,78.0,109.0,0.7165,1.0
2009-06-24 00:00:00+00:00,98.0,108.0,0.9077,0.6846
2009-06-28 00:00:00+00:00,48.0,106.0,0.4528,1.0
2009-07-02 00:00:00+00:00,85.0,105.0,0.8077,0.8845
2009-07-07 00:00:00+00:00,69.0,104.0,0.6658,1.0
2009-07-11 00:00:00+00:00,83.0,103.0,0.8071,0.8857
2009-07-15 00:00:00+00:00,45.0,100.0,0.449,1.0
2009-07-19 00:00:00+00:00,69.0,98.0,0.7007,1.0
2009-07-23 00:00:00+00:00,75.0,97.0,0.7761,0.9477
2009-07-27 00:00:00+00:00,74.0,96.0,0.7743,0.9513
2009-07-31 00:00:00+00:00,17.0,92.0,0.1839,1.0
2009-08-04 00:00:00+00:00,81.0,91.0,0.8865,0.7269
2009-08-08 00:00:00+00:00,80.0,91.0,0.8837,0.7327
2009-08-12 00:00:00+00:00,63.0,89.0,0.7108,1.0
2009-08-16 00:00:00+00:00,20.0,85.0,0.2347,1.0
2009-08-20 00:00:00+00:00,23.0,82.0,0.2807,1.0
2009-08-24 00:00:00+00:00,15.0,79.0,0.1908,1.0
2009-08-28 00:00:00+00:00,75.0,77.0,0.9715,0.557
2009-09-01 00:00:00+00:00,79.0,76.0,1.0464,0.4073
2009-09-05 00:00:00+00:00,76.0,74.0,1.0335,0.4329
2009-09-09 00:00:00+00:00,54.0,72.0,0.7448,1.0
2009-09-13 00:00:00+00:00,75.0,70.0,1.0679,0.3643
2009-09-17 00:00:00+00:00,86.0,69.0,1.2434,0.0133
2009-09-21 00:00:00+00:00,70.0,69.0,1.0082,0.4837
2009-09-25 00:00:00+00:00,93.0,68.0,1.3603,0.0
2009-09-29 00:00:00+00:00,90.0,68.0,1.3287,0.0
2009-10-03 00:00:00+00:00,58.0,67.0,0.8622,0.7755
2009-10-07 00:00:00+00:00,59.0,66.0,0.8872,0.7256
2009-10-11 00:00:00+00:00,74.0,66.0,1.1195,0.261
2009-10-15 00:00:00+00:00,71.0,66.0,1.0741,0.3517
2009-10-19 00:00:00+00:00,112.0,67.0,1.6658,0.0
2009-10-23 00:00:00+00:00,89.0,67.0,1.3297,0.0
2009-10-27 00:00:00+00:00,65.0,68.0,0.963,0.5741
2009-10-31 00:00:00+00:00,46.0,66.0,0.6949,1.0
2009-11-04 00:00:00+00:00,64.0,66.0,0.9692,0.5616
2009-11-08 00:00:00+00:00,73.0,66.0,1.1111,0.2778
2009-11-12 00:00:00+00:00,66.0,66.0,0.994,0.512
2009-11-16 00:00:00+00:00,97.0,67.0,1.4406,0.0
2009-11-20 00:00:00+00:00,86.0,68.0,1.2703,0.0
2009-11-24 00:00:00+00:00,93.0,68.0,1.361,0.0
2009-11-28 00:00:00+00:00,71.0,70.0,1.0124,0.4753
2009-12-02 00:00:00+00:00,94.0,71.0,1.3321,0.0
2009-12-07 00:00:00+00:00,112.0,72.0,1.5635,0.0
2009-12-11 00:00:00+00:00,112.0,73.0,1.5287,0.0
2009-12-15 00:00:00+00:00,113.0,76.0,1.4797,0.0
2009-12-19 00:00:00+00:00,199.0,82.0,2.4199,0.0
2009-12-23 00:00:00+00:00,154.0,87.0,1.7728,0.0
2009-12-27 00:00:00+00:00,168.0,90.0,1.8674,0.0
2009-12-31 00:00:00+00:00,138.0,92.0,1.5011,0.0
2010-01-04 00:00:00+00:00,184.0,96.0,1.926,0.0
2010-01-08 00:00:00+00:00,153.0,99.0,1.5481,0.0
2010-01-12 00:00:00+00:00,162.0,102.0,1.5924,0.0
2010-01-16 00:00:00+00:00,126.0,103.0,1.2225,0.055
2010-01-20 00:00:00+00:00,158.0,106.0,1.4906,0.0
2010-01-24 00:00:00+00:00,155.0,108.0,1.4343,0.0
2010-01-28 00:00:00+00:00,178.0,111.0,1.6036,0.0
2010-02-01 00:00:00+00:00,193.0,116.0,1.671,0.0
2010-02-05 00:00:00+00:00,228.0,121.0,1.8822,0.0
2010-02-09 00:00:00+00:00,211.0,126.0,1.6786,0.0
2010-02-13 00:00:00+00:00,235.0,131.0,1.7916,0.0
2010-02-17 00:00:00+00:00,248.0,136.0,1.8276,0.0
2010-02-21 00:00:00+00:00,227.0,140.0,1.618,0.0
2010-02-25 00:00:00+00:00,158.0,143.0,1.1018,0.2964
2010-03-01 00:00:00+00:00,199.0,148.0,1.3401,0.0
2010-03-05 00:00:00+00:00,173.0,152.0,1.1372,0.2257
2010-03-09 00:00:00+00:00,148.0,155.0,0.9571,0.5858
2010-03-13 00:00:00+00:00,154.0,158.0,0.9774,0.5453
2010-03-17 00:00:00+00:00,139.0,159.0,0.8744,0.7512
2010-03-21 00:00:00+00:00,187.0,162.0,1.152,0.1961
2010-03-25 00:00:00+00:00,201.0,166.0,1.2113,0.0773
2010-03-29 00:00:00+00:00,201.0,170.0,1.1805,0.139
2010-04-02 00:00:00+00:00,159.0,172.0,0.9221,0.6558
2010-04-06 00:00:00+00:00,174.0,174.0,0.9971,0.5057
2010-04-10 00:00:00+00:00,295.0,181.0,1.6334,0.0
2010-04-14 00:00:00+00:00,221.0,184.0,1.1998,0.1004
2010-04-18 00:00:00+00:00,3359.0,290.0,11.6014,0.0
2010-04-22 00:00:00+00:00,191.0,291.0,0.6569,1.0
2010-04-26 00:00:00+00:00,207.0,292.0,0.7087,1.0
2010-04-30 00:00:00+00:00,170.0,293.0,0.5799,1.0
2010-05-04 00:00:00+00:00,161.0,292.0,0.5507,1.0
2010-05-09 00:00:00+00:00,178.0,293.0,0.6071,1.0
2010-05-13 00:00:00+00:00,155.0,293.0,0.5291,1.0
2010-05-17 00:00:00+00:00,163.0,294.0,0.554,1.0
2010-05-21 00:00:00+00:00,215.0,296.0,0.7261,1.0
2010-05-25 00:00:00+00:00,247.0,299.0,0.8256,0.8487
2010-05-29 00:00:00+00:00,233.0,301.0,0.7741,0.9518
2010-06-02 00:00:00+00:00,189.0,301.0,0.6282,1.0
2010-06-06 00:00:00+00:00,191.0,300.0,0.6374,1.0
2010-06-10 00:00:00+00:00,218.0,300.0,0.727,1.0
2010-06-14 00:00:00+00:00,255.0,301.0,0.8485,0.803
2010-06-18 00:00:00+00:00,190.0,299.0,0.6363,1.0
2010-06-22 00:00:00+00:00,236.0,299.0,0.7896,0.9209
2010-06-26 00:00:00+00:00,199.0,300.0,0.6627,1.0
2010-06-30 00:00:00+00:00,261.0,302.0,0.8633,0.7734
2010-07-04 00:00:00+00:00,205.0,303.0,0.6757,1.0
2010-07-08 00:00:00+00:00,223.0,306.0,0.729,1.0
2010-07-12 00:00:00+00:00,3368.0,413.0,8.1543,0.0
2010-07-16 00:00:00+00:00,1436.0,456.0,3.1473,0.0
2010-07-21 00:00:00+00:00,524.0,468.0,1.1209,0.2583
2010-07-25 00:00:00+00:00,1881.0,524.0,3.5931,0.0
2010-07-29 00:00:00+00:00,431.0,531.0,0.8114,0.8772
2010-08-02 00:00:00+00:00,431.0,540.0,0.7978,0.9044
2010-08-06 00:00:00+00:00,422.0,548.0,0.7694,0.9613
2010-08-10 00:00:00+00:00,370.0,551.0,0.6715,1.0
2010-08-14 00:00:00+00:00,440.0,558.0,0.7881,0.9238
2010-08-18 00:00:00+00:00,450.0,461.0,0.9754,0.5491
2010-08-22 00:00:00+00:00,373.0,467.0,0.798,0.9039
2010-08-26 00:00:00+00:00,388.0,473.0,0.8195,0.8609
2010-08-30 00:00:00+00:00,359.0,480.0,0.7483,1.0
2010-09-03 00:00:00+00:00,373.0,487.0,0.7662,0.9675
2010-09-07 00:00:00+00:00,290.0,491.0,0.5912,1.0
2010-09-11 00:00:00+00:00,330.0,496.0,0.6648,1.0
2010-09-15 00:00:00+00:00,484.0,507.0,0.9545,0.591
2010-09-19 00:00:00+00:00,389.0,513.0,0.7585,0.983
2010-09-23 00:00:00+00:00,725.0,529.0,1.371,0.0
2010-09-27 00:00:00+00:00,693.0,544.0,1.2736,0.0
2010-10-01 00:00:00+00:00,672.0,560.0,1.1995,0.101
2010-10-05 00:00:00+00:00,491.0,570.0,0.8611,0.7779
2010-10-09 00:00:00+00:00,484.0,579.0,0.8358,0.8284
2010-10-13 00:00:00+00:00,457.0,586.0,0.7801,0.9398
2010-10-17 00:00:00+00:00,541.0,598.0,0.9054,0.6892
2010-10-21 00:00:00+00:00,697.0,613.0,1.1372,0.2256
2010-10-25 00:00:00+00:00,517.0,624.0,0.8292,0.8416
2010-10-29 00:00:00+00:00,542.0,633.0,0.8564,0.7872
2010-11-02 00:00:00+00:00,322.0,637.0,0.5057,1.0
2010-11-06 00:00:00+00:00,447.0,644.0,0.6938,1.0
2010-11-10 00:00:00+00:00,458.0,547.0,0.8369,0.8261
2010-11-14 00:00:00+00:00,457.0,515.0,0.8881,0.7239
2010-11-18 00:00:00+00:00,469.0,513.0,0.9146,0.6707
2010-11-22 00:00:00+00:00,418.0,464.0,0.9009,0.6983
2010-11-26 00:00:00+00:00,955.0,481.0,1.9835,0.0
2010-11-30 00:00:00+00:00,577.0,486.0,1.1864,0.1271
2010-12-04 00:00:00+00:00,537.0,490.0,1.0955,0.3089
2010-12-08 00:00:00+00:00,674.0,500.0,1.3472,0.0
2010-12-12 00:00:00+00:00,979.0,518.0,1.889,0.0
2010-12-16 00:00:00+00:00,706.0,527.0,1.3402,0.0
2010-12-20 00:00:00+00:00,1120.0,552.0,2.0301,0.0
2010-12-24 00:00:00+00:00,711.0,562.0,1.2641,0.0
2010-12-28 00:00:00+00:00,877.0,580.0,1.5128,0.0
2011-01-02 00:00:00+00:00,740.0,592.0,1.2501,0.0
2011-01-06 00:00:00+00:00,842.0,610.0,1.3795,0.0
2011-01-10 00:00:00+00:00,1187.0,639.0,1.8578,0.0
2011-01-14 00:00:00+00:00,1096.0,659.0,1.6623,0.0
2011-01-18 00:00:00+00:00,1126.0,684.0,1.6464,0.0
2011-01-22 00:00:00+00:00,1703.0,716.0,2.3768,0.0
2011-01-26 00:00:00+00:00,1251.0,735.0,1.7018,0.0
2011-01-30 00:00:00+00:00,2852.0,808.0,3.5307,0.0
2011-02-03 00:00:00+00:00,989.0,824.0,1.1997,0.1006
2011-02-07 00:00:00+00:00,1091.0,845.0,1.2917,0.0
2011-02-11 00:00:00+00:00,3680.0,952.0,3.8654,0.0
2011-02-15 00:00:00+00:00,2893.0,1030.0,2.8076,0.0
2011-02-19 00:00:00+00:00,2313.0,1084.0,2.1332,0.0
2011-02-23 00:00:00+00:00,3287.0,1177.0,2.7936,0.0
2011-02-28 00:00:00+00:00,2510.0,1242.0,2.0206,0.0
2011-03-04 00:00:00+00:00,2802.0,1325.0,2.1149,0.0
2011-03-08 00:00:00+00:00,3483.0,1426.0,2.4423,0.0
2011-03-12 00:00:00+00:00,2722.0,1502.0,1.8128,0.0
2011-03-16 00:00:00+00:00,2541.0,1571.0,1.6174,0.0
2011-03-20 00:00:00+00:00,4021.0,1689.0,2.3801,0.0
2011-03-24 00:00:00+00:00,3675.0,1798.0,2.0439,0.0
2011-03-28 00:00:00+00:00,4225.0,1907.0,2.2155,0.0
2011-04-01 00:00:00+00:00,2714.0,1978.0,1.3719,0.0
