date,btc_dominance
2026-07-19,57.3584
2026-07-20,57.2491
2026-07-21,57.7058
2026-07-22,58.8898
2026-07-23,58.4979
2026-07-24,57.5747
2026-07-25,56.7493
2026-07-26,56.9429
2026-07-27,57.8243
2026-07-28,56.3764
2026-07-29,56.6284
2026-07-30,56.6093
2026-07-31,57.3569
2026-08-01,55.6933
2026-08-02,55.6116
2026-08-03,56.2007
2026-08-04,56.2076
2026-08-05,56.7107
2026-08-06,57.1856
2026-08-07,56.9345
2026-08-08,57.4523
2026-08-09,57.492
2026-08-10,57.4441
2026-08-11,56.6086
2026-08-12,56.2749
2026-08-13,56.1619
2026-08-14,56.1709
2026-08-15,55.7992
2026-08-16,55.8189
2026-08-17,56.2169
2026-08-18,56.5536
2026-08-19,56.5334
2026-08-20,58.1974
