symbol,n_days,holding_days,sample_size,mean_return,median_return,win_rate,sharpe_ratio,max_drawdown,avg_drawdown,best_return,worst_return,std_return
BTCUSDT,2,1,940,0.001836,0.002622,0.5553,0.7797,-0.187411,-0.025433,0.178217,-0.187411,0.037371
BTCUSDT,2,3,940,0.004735,0.005455,0.5702,1.2355,-0.372664,-0.043272,0.274669,-0.372664,0.060838
BTCUSDT,2,7,940,0.008828,0.00738,0.5436,1.4925,-0.36715,-0.063358,0.414847,-0.36715,0.0939
BTCUSDT,3,1,418,0.00439,0.003877,0.5837,1.8035,-0.181788,-0.025226,0.155763,-0.181788,0.03864
BTCUSDT,3,3,418,0.005839,0.007426,0.5933,1.4354,-0.372664,-0.046401,0.274669,-0.372664,0.06458
BTCUSDT,3,7,418,0.006082,0.005496,0.5287,0.9848,-0.36715,-0.066087,0.414847,-0.36715,0.098036
BTCUSDT,4,1,174,0.006922,0.0051,0.6264,2.7848,-0.159747,-0.025327,0.154724,-0.159747,0.039458
BTCUSDT,4,3,174,0.006075,0.009834,0.6149,1.3667,-0.2966,-0.054843,0.229488,-0.2966,0.070559
BTCUSDT,4,7,174,0.004095,0.009712,0.5517,0.5957,-0.339342,-0.079855,0.414847,-0.339342,0.109117
BTCUSDT,5,1,65,0.003319,0.005066,0.6308,1.2599,-0.159747,-0.031494,0.102389,-0.159747,0.041813
BTCUSDT,5,3,65,-0.002865,0.00943,0.5692,-0.6727,-0.21699,-0.055767,0.198655,-0.21699,0.067598
BTCUSDT,5,7,65,-0.004146,0.008103,0.5231,-0.561,-0.329439,-0.08989,0.358478,-0.329439,0.117301
ETHUSDT,2,1,711,0.001598,0.004081,0.5626,0.494,-0.423472,-0.036972,0.253136,-0.423472,0.051364
ETHUSDT,2,3,711,-9.4e-05,0.003204,0.5316,-0.0174,-0.367235,-0.064672,0.425487,-0.367235,0.086224
ETHUSDT,2,7,711,0.001443,0.00119,0.5063,0.1814,-0.411965,-0.089581,0.676138,-0.411965,0.126238
ETHUSDT,3,1,311,0.001084,0.005134,0.5595,0.324,-0.186866,-0.03923,0.253136,-0.186866,0.053125
ETHUSDT,3,3,311,-0.00444,0.003009,0.5241,-0.8182,-0.276545,-0.069933,0.369324,-0.276545,0.086143
ETHUSDT,3,7,311,-0.005099,-0.003886,0.4759,-0.6461,-0.403444,-0.091222,0.486214,-0.403444,0.125283
ETHUSDT,4,1,137,-0.005097,0.001221,0.5182,-1.4349,-0.174564,-0.046155,0.181149,-0.174564,0.056393
ETHUSDT,4,3,137,-0.010694,-0.002908,0.4964,-1.8729,-0.276545,-0.078838,0.207991,-0.276545,0.090642
ETHUSDT,4,7,137,-0.011754,-0.008919,0.4307,-1.3939,-0.350421,-0.094128,0.486214,-0.350421,0.133858
ETHUSDT,5,1,66,-2.6e-05,0.006121,0.5606,-0.007,-0.166504,-0.044523,0.181149,-0.166504,0.057714
ETHUSDT,5,3,66,-0.014121,-0.00557,0.4697,-2.4921,-0.25093,-0.076535,0.207991,-0.25093,0.089953
ETHUSDT,5,7,66,-0.006389,-0.006958,0.4394,-0.7049,-0.350421,-0.093999,0.486214,-0.350421,0.143874
SOLUSDT,2,1,558,0.002696,-0.000184,0.4964,0.7131,-0.422809,-0.037937,0.286975,-0.422809,0.060009
SOLUSDT,2,3,558,0.007541,0.001173,0.5143,1.1612,-0.402682,-0.06449,0.754796,-0.402682,0.103099
SOLUSDT,2,7,558,0.015564,0.002008,0.5072,1.6119,-0.547199,-0.091499,1.104293,-0.547199,0.153283
SOLUSDT,3,1,281,0.001685,0.001455,0.5267,0.434,-0.422809,-0.041118,0.268316,-0.422809,0.061628
SOLUSDT,3,3,281,0.006254,0.008175,0.5516,0.9987,-0.332482,-0.069627,0.459477,-0.332482,0.099409
SOLUSDT,3,7,281,0.010717,0.010094,0.5338,1.2565,-0.547199,-0.097023,0.465242,-0.547199,0.135403
SOLUSDT,4,1,133,0.001454,0.006191,0.5338,0.3789,-0.245304,-0.044507,0.268316,-0.245304,0.060939
SOLUSDT,4,3,133,0.003492,0.010675,0.5639,0.5855,-0.332482,-0.07499,0.254623,-0.332482,0.094676
SOLUSDT,4,7,133,0.026026,0.024722,0.5639,2.9851,-0.225131,-0.097249,0.411384,-0.225131,0.138405
SOLUSDT,5,1,62,0.005077,0.008047,0.5645,1.301,-0.245304,-0.048672,0.12998,-0.245304,0.061942
SOLUSDT,5,3,62,0.017014,0.018982,0.6129,2.5589,-0.29376,-0.083215,0.254623,-0.29376,0.105551
SOLUSDT,5,7,62,0.054071,0.052496,0.629,5.3355,-0.225131,-0.11035,0.411384,-0.225131,0.160875
