symbol,test_year,n_test,xgb_auc,lgb_auc,ens_auc,dir_acc,rmse
BTCUSDT,2019,365,0.5304,0.5449,0.5354,0.5397,0.1331
BTCUSDT,2020,366,0.5552,0.5656,0.5577,0.4891,0.1187
BTCUSDT,2021,365,0.5291,0.5339,0.5317,0.5123,0.1262
BTCUSDT,2022,365,0.4909,0.495,0.4958,0.4466,0.0959
BTCUSDT,2023,365,0.4909,0.495,0.4899,0.4795,0.0782
BTCUSDT,2024,366,0.5631,0.5794,0.5741,0.6011,0.0737
BTCUSDT,2025,365,0.513,0.5156,0.5147,0.5288,0.0599
BTCUSDT,2026,218,0.592,0.5907,0.5905,0.5229,0.067
ETHUSDT,2019,365,0.4207,0.4444,0.4308,0.5041,0.1478
ETHUSDT,2020,366,0.494,0.4802,0.4892,0.4016,0.204
ETHUSDT,2021,365,0.4799,0.4888,0.4832,0.4822,0.1722
ETHUSDT,2022,365,0.5438,0.5306,0.5363,0.474,0.1267
ETHUSDT,2023,365,0.5609,0.5946,0.5818,0.5315,0.0703
ETHUSDT,2024,366,0.615,0.5871,0.6038,0.5464,0.0981
ETHUSDT,2025,365,0.618,0.5956,0.6094,0.537,0.1017
ETHUSDT,2026,218,0.598,0.5844,0.5948,0.4725,0.0872
SOLUSDT,2022,365,0.5106,0.5298,0.5196,0.4411,0.2029
SOLUSDT,2023,365,0.5051,0.5054,0.5045,0.4932,0.1988
SOLUSDT,2024,366,0.4937,0.4771,0.484,0.5164,0.1244
SOLUSDT,2025,365,0.5737,0.5744,0.576,0.5644,0.1145
SOLUSDT,2026,218,0.4237,0.4302,0.4316,0.422,0.1008
