symbol,factor,factor_name,mean_ic,std_ic,ic_ir,n_years,n_positive,rating,ic_by_year
BTCUSDT,f1_cont,F1 RSI Intensity,0.0045,0.0895,0.051,10,4,Noise,"{""2017"": -0.0318, ""2018"": 0.1115, ""2019"": -0.0857, ""2020"": -0.122, ""2021"": -0.0394, ""2022"": 0.1908, ""2023"": 0.002, ""2024"": -0.0102, ""2025"": 0.0707, ""2026"": -0.0405}"
BTCUSDT,f2_cont,F2 Bollinger Position,0.0027,0.0808,0.034,10,6,Noise,"{""2017"": -0.0588, ""2018"": 0.0119, ""2019"": -0.0452, ""2020"": -0.143, ""2021"": 0.0532, ""2022"": 0.1245, ""2023"": 0.0219, ""2024"": 0.0374, ""2025"": 0.1093, ""2026"": -0.0841}"
BTCUSDT,f5_cont,F5 Month Seasonality,0.1189,0.112,1.062,10,8,Strong,"{""2017"": 0.2049, ""2018"": 0.2237, ""2019"": 0.1482, ""2020"": 0.2186, ""2021"": 0.0329, ""2022"": 0.1092, ""2023"": -0.0709, ""2024"": 0.234, ""2025"": -0.0747, ""2026"": 0.1627}"
BTCUSDT,f6_cont,F6 HMM Regime,-0.0171,0.0623,-0.275,10,3,Weak,"{""2017"": 0.0635, ""2018"": -0.0371, ""2019"": -0.0535, ""2020"": 0.0514, ""2021"": -0.0561, ""2022"": -0.0992, ""2023"": -0.043, ""2024"": -0.0518, ""2025"": -0.0494, ""2026"": 0.1041}"
BTCUSDT,f7_cont,F7 Volume Direction,0.0311,0.0803,0.387,10,6,Weak,"{""2017"": 0.0076, ""2018"": 0.111, ""2019"": -0.1069, ""2020"": -0.001, ""2021"": 0.092, ""2022"": 0.0222, ""2023"": -0.0139, ""2024"": 0.1017, ""2025"": -0.0653, ""2026"": 0.1631}"
BTCUSDT,f8_cont,F8 Price Momentum,-0.0187,0.0714,-0.262,10,3,Weak,"{""2017"": -0.0182, ""2018"": -0.082, ""2019"": -0.0826, ""2020"": 0.1031, ""2021"": -0.0259, ""2022"": -0.1383, ""2023"": -0.0073, ""2024"": -0.05, ""2025"": 0.0331, ""2026"": 0.081}"
BTCUSDT,f9_cont,F9 Funding Rate,0.1501,0.1049,1.431,8,7,Strong,"{""2019"": 0.2911, ""2020"": 0.1975, ""2021"": 0.1331, ""2022"": 0.0798, ""2023"": 0.0842, ""2024"": -0.052, ""2025"": 0.2058, ""2026"": 0.2614}"
BTCUSDT,f11_cont,F11 Active Addresses,0.0064,0.1027,0.062,10,5,Noise,"{""2017"": -0.0365, ""2018"": 0.0766, ""2019"": -0.1257, ""2020"": 0.1463, ""2021"": 0.0113, ""2022"": 0.1328, ""2023"": 0.1045, ""2024"": -0.1641, ""2025"": -0.005, ""2026"": -0.0764}"
BTCUSDT,f12_cont,F12 Turbulence Calm,-0.005,0.0561,-0.089,6,3,Noise,"{""2021"": -0.0249, ""2022"": 0.025, ""2023"": -0.0875, ""2024"": -0.0391, ""2025"": 0.0925, ""2026"": 0.004}"
BTCUSDT,f13_cont,F13 MVRV,0.1692,0.0971,1.742,10,9,Strong,"{""2017"": 0.1735, ""2018"": 0.2658, ""2019"": 0.1812, ""2020"": -0.0, ""2021"": 0.0263, ""2022"": 0.2399, ""2023"": 0.1711, ""2024"": 0.1618, ""2025"": 0.1317, ""2026"": 0.3405}"
