symbol,date,daily_avg,daily_min,daily_max,daily_count,neg_pct_7d,f9_norm
BTCUSDT,2019-09-10,0.0001,0.0001,0.0001,2,0.0,0.36
BTCUSDT,2019-09-11,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-12,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-13,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-14,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-15,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-16,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-17,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-18,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-19,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-20,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-21,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-22,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-23,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-24,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-25,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-26,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-27,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-28,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-29,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-09-30,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-01,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-02,-0.0001081933333333,-0.00052458,0.0001,3,0.0476190476190476,0.4528
BTCUSDT,2019-10-03,-9.698666666666668e-05,-0.0003222,0.0001,3,0.1428571428571428,0.4674
BTCUSDT,2019-10-04,-3.733333333333298e-07,-0.00013704,0.0001,3,0.1904761904761904,0.4382
BTCUSDT,2019-10-05,-0.0001652466666666,-0.00025688,-1.226e-05,3,0.3333333333333333,0.5328
BTCUSDT,2019-10-06,-3.995333333333333e-05,-0.00011057,2.715e-05,3,0.4285714285714285,0.5017
BTCUSDT,2019-10-07,-0.0001664266666666,-0.00024859,-5.063e-05,3,0.5714285714285714,0.5809
BTCUSDT,2019-10-08,0.0001,0.0001,0.0001,3,0.5714285714285714,0.4743
BTCUSDT,2019-10-09,0.0001,0.0001,0.0001,3,0.5238095238095238,0.4648
BTCUSDT,2019-10-10,0.0001,0.0001,0.0001,3,0.4285714285714285,0.4457
BTCUSDT,2019-10-11,0.0001,0.0001,0.0001,3,0.3809523809523809,0.4362
BTCUSDT,2019-10-12,0.0001,0.0001,0.0001,3,0.238095238095238,0.4076
BTCUSDT,2019-10-13,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
BTCUSDT,2019-10-14,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-15,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-16,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-17,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-18,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-19,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-20,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-21,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-22,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-23,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-10-24,5.201666666666667e-05,-4.395e-05,0.0001,3,0.0476190476190476,0.3887
BTCUSDT,2019-10-25,1.763666666666667e-05,-0.00014709,0.0001,3,0.0952380952380952,0.412
BTCUSDT,2019-10-26,0.0001819433333333,0.0001,0.00030874,3,0.0952380952380952,0.3463
BTCUSDT,2019-10-27,0.0001285366666666,0.0001,0.00018561,3,0.0952380952380952,0.3676
BTCUSDT,2019-10-28,0.00054853,0.00012485,0.00078363,3,0.0952380952380952,0.1996
BTCUSDT,2019-10-29,0.0003904333333333,0.00016366,0.00053797,3,0.0952380952380952,0.2629
BTCUSDT,2019-10-30,0.0003554533333333,0.00025294,0.00052312,3,0.0952380952380952,0.2769
BTCUSDT,2019-10-31,0.00030943,0.0001317,0.00041061,3,0.0476190476190476,0.2858
BTCUSDT,2019-11-01,0.00024867,0.0001,0.00048728,3,0.0,0.3005
BTCUSDT,2019-11-02,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-03,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-04,0.0001002399999999,0.0001,0.00010072,3,0.0,0.3599
BTCUSDT,2019-11-05,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-06,0.0001129233333333,0.0001,0.00013877,3,0.0,0.3548
BTCUSDT,2019-11-07,0.0002151966666666,0.00018004,0.00027025,3,0.0,0.3139
BTCUSDT,2019-11-08,0.0001083333333333,0.0001,0.000125,3,0.0,0.3567
BTCUSDT,2019-11-09,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-10,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-11,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-12,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-13,-6.9633333333333325e-06,-0.00022089,0.0001,3,0.0476190476190476,0.4123
BTCUSDT,2019-11-14,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
BTCUSDT,2019-11-15,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
BTCUSDT,2019-11-16,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
BTCUSDT,2019-11-17,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
BTCUSDT,2019-11-18,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
BTCUSDT,2019-11-19,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
BTCUSDT,2019-11-20,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-21,0.0001,0.0001,0.0001,3,0.0,0.36
BTCUSDT,2019-11-22,-3.0629999999999996e-05,-0.00025622,9.601e-05,3,0.0476190476190476,0.4218
BTCUSDT,2019-11-23,-0.0002000266666666,-0.0002867,-0.0001429,3,0.1904761904761904,0.5181
BTCUSDT,2019-11-24,3.2613333333333335e-05,-0.00010216,0.0001,3,0.238095238095238,0.4346
BTCUSDT,2019-11-25,-1.3783333333333334e-05,-0.00011089,0.0001,3,0.3333333333333333,0.4722
BTCUSDT,2019-11-26,-0.0003049933333333,-0.00046229,-8.462e-05,3,0.4761904761904761,0.6172
BTCUSDT,2019-11-27,-7.947333333333332e-05,-0.00018098,0.0001,3,0.5714285714285714,0.5461
BTCUSDT,2019-11-28,0.0001,0.0001,0.0001,3,0.5714285714285714,0.4743
BTCUSDT,2019-11-29,0.0001,0.0001,0.0001,3,0.5238095238095238,0.4648
BTCUSDT,2019-11-30,6.024666666666667e-05,-1.926e-05,0.0001,3,0.4285714285714285,0.4616
BTCUSDT,2019-12-01,0.0001,0.0001,0.0001,3,0.3809523809523809,0.4362
BTCUSDT,2019-12-02,7.240333333333334e-05,1.721e-05,0.0001,3,0.2857142857142857,0.4282
BTCUSDT,2019-12-03,3.098333333333333e-05,-1.025e-05,8.902e-05,3,0.1904761904761904,0.4257
BTCUSDT,2019-12-04,-7.633333333333332e-06,-5.268e-05,3.333e-05,3,0.1904761904761904,0.4411
BTCUSDT,2019-12-05,-1.804e-05,-9.765e-05,2.564e-05,3,0.238095238095238,0.4548
BTCUSDT,2019-12-06,6.715333333333333e-05,5.834e-05,7.761e-05,3,0.238095238095238,0.4208
BTCUSDT,2019-12-07,7.936333333333334e-05,3.809e-05,0.0001,3,0.1904761904761904,0.4063
BTCUSDT,2019-12-08,0.0001,0.0001,0.0001,3,0.1904761904761904,0.3981
BTCUSDT,2019-12-09,0.0001,0.0001,0.0001,3,0.1904761904761904,0.3981
BTCUSDT,2019-12-10,0.0001,0.0001,0.0001,3,0.1428571428571428,0.3886
BTCUSDT,2019-12-11,2.79e-05,-5.692e-05,0.0001,3,0.0952380952380952,0.4079
BTCUSDT,2019-12-12,-1.8933333333333337e-05,-8.52e-05,3.16e-05,3,0.1428571428571428,0.4361
BTCUSDT,2019-12-13,-9.443333333333332e-05,-0.00011387,-7.162e-05,3,0.2857142857142857,0.4949
BTCUSDT,2019-12-14,2.298e-05,-5.358e-05,0.0001,3,0.3333333333333333,0.4575
BTCUSDT,2019-12-15,2.8063333333333336e-05,-1.788e-05,7.982e-05,3,0.3809523809523809,0.465
BTCUSDT,2019-12-16,-9.299666666666668e-05,-0.00013465,-3.652e-05,3,0.5238095238095238,0.542
BTCUSDT,2019-12-17,-6.547e-05,-0.00013429,-1.606e-05,3,0.6666666666666666,0.5595
BTCUSDT,2019-12-18,-0.00017045,-0.00022278,-0.00013767,3,0.7619047619047619,0.6206
BTCUSDT,2019-12-19,0.0001,0.0001,0.0001,3,0.6666666666666666,0.4933
BTCUSDT,2019-12-20,2.2023333333333333e-05,1.034e-05,3.19e-05,3,0.5238095238095238,0.496
BTCUSDT,2019-12-21,6.587666666666667e-05,-2.37e-06,0.0001,3,0.5238095238095238,0.4784
BTCUSDT,2019-12-22,7.19e-05,1.57e-05,0.0001,3,0.4761904761904761,0.4665
BTCUSDT,2019-12-23,0.0001,0.0001,0.0001,3,0.3333333333333333,0.4267
BTCUSDT,2019-12-24,0.0001,0.0001,0.0001,3,0.1904761904761904,0.3981
BTCUSDT,2019-12-25,8.702333333333334e-05,6.107e-05,0.0001,3,0.0476190476190476,0.3747
BTCUSDT,2019-12-26,5.715333333333334e-05,-2.854e-05,0.0001,3,0.0952380952380952,0.3962
BTCUSDT,2019-12-27,-3.951e-05,-8.764e-05,2.605e-05,3,0.1904761904761904,0.4539
BTCUSDT,2019-12-28,-3.264e-05,-7.701e-05,2.166e-05,3,0.238095238095238,0.4607
BTCUSDT,2019-12-29,-7.325666666666666e-05,-0.0002325,0.0001,3,0.3333333333333333,0.496
BTCUSDT,2019-12-30,-9.859333333333332e-05,-0.0001794,-1.406e-05,3,0.4761904761904761,0.5347
BTCUSDT,2019-12-31,-3.839e-05,-0.0001305,3.936e-05,3,0.5714285714285714,0.5296
BTCUSDT,2020-01-01,-0.0001146866666666,-0.00012383,-9.664e-05,3,0.7142857142857143,0.5887
BTCUSDT,2020-01-02,4.588666666666667e-05,1.04e-06,0.0001,3,0.6666666666666666,0.515
BTCUSDT,2020-01-03,2.261e-05,-1.664e-05,0.0001,3,0.6666666666666666,0.5243
BTCUSDT,2020-01-04,5.823666666666667e-05,8.4e-07,0.0001,3,0.5714285714285714,0.491
