symbol,lag,lb_stat,lb_pvalue
BTCUSDT,1,2.279,0.131133
BTCUSDT,2,2.7809,0.248967
BTCUSDT,3,3.2504,0.354606
BTCUSDT,4,3.7018,0.447861
BTCUSDT,5,4.123,0.53185
BTCUSDT,6,10.2613,0.114071
BTCUSDT,7,11.3704,0.123257
BTCUSDT,8,14.5555,0.068387
BTCUSDT,9,14.5716,0.103395
BTCUSDT,10,20.0094,0.029164
BTCUSDT,11,20.1733,0.04302
BTCUSDT,12,20.4346,0.059299
BTCUSDT,13,21.097,0.071031
BTCUSDT,14,21.3193,0.093725
BTCUSDT,15,21.6288,0.117913
BTCUSDT,16,21.6439,0.155066
BTCUSDT,17,26.2663,0.069743
BTCUSDT,18,26.521,0.088429
BTCUSDT,19,28.2254,0.079187
BTCUSDT,20,29.9654,0.070416
ETHUSDT,1,4.648,0.03109
ETHUSDT,2,11.2344,0.003635
ETHUSDT,3,11.6398,0.008725
ETHUSDT,4,14.1418,0.006856
ETHUSDT,5,14.1426,0.014729
ETHUSDT,6,20.986,0.001845
ETHUSDT,7,21.2553,0.00341
ETHUSDT,8,24.1957,0.002125
ETHUSDT,9,24.4842,0.003598
ETHUSDT,10,28.8931,0.001297
ETHUSDT,11,28.9281,0.002329
ETHUSDT,12,29.1365,0.00376
ETHUSDT,13,31.2933,0.003054
ETHUSDT,14,31.6664,0.004467
ETHUSDT,15,32.242,0.005967
ETHUSDT,16,32.8477,0.007741
ETHUSDT,17,36.8801,0.003493
ETHUSDT,18,37.9767,0.003901
ETHUSDT,19,40.6975,0.002647
ETHUSDT,20,40.814,0.003935
SOLUSDT,1,0.9753,0.323365
SOLUSDT,2,1.0318,0.596966
SOLUSDT,3,2.1487,0.542115
SOLUSDT,4,7.2166,0.124873
SOLUSDT,5,7.8154,0.166705
SOLUSDT,6,11.2008,0.082365
SOLUSDT,7,16.4047,0.021666
SOLUSDT,8,19.0101,0.014806
SOLUSDT,9,20.3623,0.015804
SOLUSDT,10,24.3194,0.006796
SOLUSDT,11,24.3229,0.011438
SOLUSDT,12,26.997,0.007735
SOLUSDT,13,29.1579,0.006216
SOLUSDT,14,29.1667,0.009921
SOLUSDT,15,35.0779,0.002397
SOLUSDT,16,36.839,0.002209
SOLUSDT,17,36.9801,0.003386
SOLUSDT,18,38.95,0.002894
SOLUSDT,19,44.6115,0.000777
SOLUSDT,20,45.2907,0.001008
