symbol,test_year,n_train,n_test,auc,dir_acc,train_start,train_end
BTCUSDT,2019,419,365,0.5708,0.4597,2017-11-01,2018-12-24
BTCUSDT,2020,784,366,0.3855,0.378,2017-11-01,2019-12-24
BTCUSDT,2021,1150,365,0.4505,0.4925,2017-11-01,2020-12-24
BTCUSDT,2022,1515,365,0.4964,0.4418,2017-11-01,2021-12-24
BTCUSDT,2023,1880,365,0.5145,0.5284,2017-11-01,2022-12-24
BTCUSDT,2024,2245,366,0.5612,0.494,2017-11-01,2023-12-24
BTCUSDT,2025,2611,365,0.596,0.4836,2017-11-01,2024-12-24
BTCUSDT,2026,2976,224,0.6217,0.5619,2017-11-01,2025-12-24
ETHUSDT,2020,756,366,0.4685,0.3958,2017-11-29,2019-12-24
ETHUSDT,2021,1122,365,0.5044,0.5463,2017-11-29,2020-12-24
ETHUSDT,2022,1487,365,0.5231,0.4299,2017-11-29,2021-12-24
ETHUSDT,2023,1852,365,0.4907,0.4955,2017-11-29,2022-12-24
ETHUSDT,2024,2217,366,0.5024,0.4554,2017-11-29,2023-12-24
ETHUSDT,2025,2583,365,0.5375,0.5015,2017-11-29,2024-12-24
ETHUSDT,2026,2948,224,0.5983,0.5773,2017-11-29,2025-12-24
SOLUSDT,2022,452,365,0.529,0.4567,2020-09-29,2021-12-24
SOLUSDT,2023,817,365,0.5611,0.5821,2020-09-29,2022-12-24
SOLUSDT,2024,1182,366,0.4715,0.5327,2020-09-29,2023-12-24
SOLUSDT,2025,1548,365,0.5141,0.5194,2020-09-29,2024-12-24
SOLUSDT,2026,1913,224,0.3806,0.4021,2020-09-29,2025-12-24
