symbol,date,score,score_bucket,f1_norm,f2_norm,f3_norm,f4_norm,f5_norm,f6_norm,f7_norm,f8_norm,f9_norm,f10_norm,f11_norm,f12_norm,f13_norm,f14_norm,f15_norm,f1_cont,f2_cont,f5_cont,f6_cont,f7_cont,f8_cont,f9_cont,f11_cont,f12_cont,f13_cont,f14_cont,f15_cont,outcome_7d,win,percentile_rank,pct_bucket
BTCUSDT,2014-10-07,25.1,20–40,0.6779,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8428,0.0,0.0,0.839,0.4021,1.0,0.5,0.6058,0.0163,0.5,0.0,0.5,0.8428,0.5,0.5,0.192402,1,92.2,top 10%
BTCUSDT,2014-10-08,23.2,20–40,0.5612,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8227,0.0,0.0,0.7806,0.3048,1.0,0.0,0.6392,0.0495,0.5,0.0,0.5,0.8227,0.5,0.5,0.118527,1,87.5,top 25%
BTCUSDT,2014-10-09,21.9,20–40,0.4811,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8151,0.0,0.0,0.7406,0.2362,1.0,0.0,0.8325,0.0,0.5,0.4596,0.5,0.8151,0.5,0.5,0.048024,1,82.6,top 25%
BTCUSDT,2014-10-10,22.1,20–40,0.4892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175,0.0,0.0,0.7446,0.2431,1.0,0.0,0.5274,0.0,0.5,0.4596,0.5,0.8175,0.5,0.5,0.061389,1,83.5,top 25%
BTCUSDT,2014-10-11,22.0,20–40,0.4839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8144,0.0,0.0,0.7419,0.2305,1.0,0.0033,0.3017,0.0,0.5,0.4596,0.5,0.8144,0.5,0.5,0.080439,1,83.1,top 25%
BTCUSDT,2014-10-12,20.1,20–40,0.3683,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7987,0.0,0.0,0.6841,0.1395,1.0,0.008,0.3349,0.0,0.5,0.4596,0.5,0.7987,0.5,0.5,0.02905,1,76.6,top 25%
BTCUSDT,2014-10-13,18.8,0–20,0.2893,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7855,0.0,0.0,0.6447,0.0527,1.0,0.0082,0.4742,0.0,0.5,0.1836,0.5,0.7855,0.5,0.5,-0.019387,0,70.5,top 50%
BTCUSDT,2014-10-14,17.8,0–20,0.2223,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7771,0.0,0.0,0.6112,0.0,1.0,0.0096,0.4967,0.0471,0.5,0.1836,0.5,0.7771,0.5,0.5,-0.035909,0,65.3,top 50%
BTCUSDT,2014-10-15,18.2,0–20,0.2469,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7823,0.0,0.0,0.6235,0.0,1.0,0.0039,0.3951,0.102,0.5,0.1836,0.5,0.7823,0.5,0.5,-0.029422,0,67.8,top 50%
BTCUSDT,2014-10-16,19.0,0–20,0.295,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7942,0.0,0.0,0.6475,0.0666,1.0,0.0025,0.593,0.17,0.5,0.1836,0.5,0.7942,0.5,0.5,-0.063099,0,71.4,top 50%
BTCUSDT,2014-10-17,21.9,20–40,0.2863,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5042,0.0,0.794,0.0,0.0,0.6431,0.0488,1.0,0.0027,0.6955,0.3404,0.5,0.5042,0.5,0.794,0.5,0.5,-0.066221,0,82.6,top 25%
BTCUSDT,2014-10-18,22.0,20–40,0.2294,0.0,0.0,0.0,1.0,0.0,0.0,0.1759,0.0,0.0,0.5042,0.0,0.7852,0.0,0.0,0.6147,0.0025,1.0,0.003,0.7109,0.6055,0.5,0.5042,0.5,0.7852,0.5,0.5,-0.112842,0,83.1,top 25%
BTCUSDT,2014-10-19,23.1,20–40,0.2384,0.0,0.0,0.0,1.0,0.0,0.0,0.3287,0.0,0.0,0.5042,0.0,0.7877,0.0,0.0,0.6192,0.0234,1.0,0.0,0.2478,0.6972,0.5,0.5042,0.5,0.7877,0.5,0.5,-0.089443,0,87.1,top 25%
BTCUSDT,2014-10-20,22.2,20–40,0.2706,0.0,0.0,0.0,1.0,0.0,0.0,0.0981,0.0,0.0,0.5042,0.0,0.7949,0.0,0.0,0.6353,0.0675,1.0,0.0,0.6639,0.5589,0.5,0.5042,0.5,0.7949,0.5,0.5,-0.077985,0,83.8,top 25%
BTCUSDT,2014-10-21,21.2,20–40,0.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5042,0.0,0.7909,0.0,0.0,0.62,0.0439,1.0,0.0,0.6804,0.4916,0.5,0.5042,0.5,0.7909,0.5,0.5,-0.074667,0,80.1,top 25%
BTCUSDT,2014-10-22,19.1,0–20,0.2576,0.0,0.0,0.0,1.0,0.0,0.0,0.1156,0.0,0.0,0.0,0.0,0.795,0.0,0.0,0.6288,0.0703,1.0,0.0,0.7005,0.5694,0.5,0.3441,0.5,0.795,0.5,0.5,-0.124145,0,71.9,top 50%
BTCUSDT,2014-10-23,22.8,20–40,0.374,0.0,0.0,0.0,1.0,0.0,0.0,0.4066,0.0,0.0,0.0,0.0,0.8174,0.0,0.0,0.687,0.2391,1.0,0.0,0.5724,0.744,0.5,0.3441,0.5,0.8174,0.5,0.5,-0.036583,0,86.2,top 25%
BTCUSDT,2014-10-24,25.4,20–40,0.3743,0.0,0.0,0.0,1.0,0.0,0.0,0.8487,0.0,0.0,0.0,0.0,0.8168,0.0,0.0,0.6872,0.256,1.0,0.0,0.6595,1.0,0.5,0.3441,0.5,0.8168,0.5,0.5,-0.055879,0,92.8,top 10%
BTCUSDT,2014-10-25,26.4,20–40,0.4214,0.0,0.0,0.0,1.0,0.0,0.0,0.8821,0.0,0.0,0.0,0.0,0.828,0.0,0.0,0.7107,0.3692,1.0,0.0,0.6189,1.0,0.5,0.3441,0.5,0.828,0.5,0.5,-0.061975,0,94.5,top 10%
BTCUSDT,2014-10-26,24.7,20–40,0.3481,0.0,0.0,0.0,1.0,0.0,0.0,0.7841,0.0,0.0,0.0,0.0,0.8207,0.0,0.0,0.674,0.3349,1.0,0.0,0.673,0.9704,0.5,0.1975,0.5,0.8207,0.5,0.5,-0.081228,0,91.5,top 10%
BTCUSDT,2014-10-27,24.0,20–40,0.3563,0.0,0.0,0.0,1.0,0.0,0.0,0.6436,0.0,0.0,0.0,0.0,0.8234,0.0,0.0,0.6782,0.3752,1.0,0.0,0.6425,0.8861,0.5,0.1975,0.5,0.8234,0.5,0.5,-0.072056,0,89.8,top 25%
BTCUSDT,2014-10-28,19.8,0–20,0.3082,0.0,0.0,0.0,1.0,0.0,0.0,0.0774,0.0,0.0,0.0,0.0,0.8187,0.0,0.0,0.6541,0.3341,1.0,0.0,0.3047,0.5465,0.5,0.1975,0.5,0.8187,0.5,0.5,-0.075852,0,75.5,top 25%
BTCUSDT,2014-10-29,21.1,20–40,0.4146,0.0018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8388,0.0,0.0,0.7073,0.5009,1.0,0.0,0.5159,0.4486,0.5,0.1975,0.5,0.8388,0.5,0.5,0.011606,1,79.7,top 25%
BTCUSDT,2014-10-30,21.8,20–40,0.3183,0.0,0.0,0.0,1.0,0.0,0.3793,0.0,0.0,0.0,0.0,0.0,0.8278,0.0,0.0,0.6592,0.3955,1.0,0.0,0.3116,0.3821,0.5,0.3096,0.5,0.8278,0.5,0.5,0.011541,1,82.2,top 25%
