symbol,factor,raw_value,normalized_score,weight,weighted_score,description
BTCUSDT,rsi_intensity,42.711828,0.4953,0.15,0.0743,RSI-14 = 42.7
BTCUSDT,bollinger_deviation,0.701419,0.2597,0.11,0.0286,BB deviation = 0.70σ
BTCUSDT,garch_vol_regime,0.174036,0.1519,0.08,0.0122,"Vol trend = ↑ expanding (+17.4%), persistence=1.000"
BTCUSDT,fear_greed_zone,0.1459,0.9377,0.09,0.0844,"F&G: EF wr=69% vs baseline 54% (edge=+15%), EF mean=+2.8%, n=93"
BTCUSDT,month_seasonality,-0.073945,0.0339,0.09,0.0031,"Month 8: median=-7.4%, wr=18%, n=11"
BTCUSDT,regime_favorability,0.0983,0.7949,0.09,0.0715,"Regime=sideways: baseline wr=51%, avg signal edge=+9.8%"
BTCUSDT,volume_surge,0.956068,0.4044,0.06,0.0243,"Vol ratio = 0.96x 20d avg, 3d price = -0.9%"
BTCUSDT,price_momentum,-0.00805,0.4701,0.06,0.0282,"5d mom = -2.9%, 20d mom = -2.1%, rel = -0.8%"
BTCUSDT,funding_rate,6.3e-05,0.3747,0.07,0.0262,"7d avg funding=0.00006, neg_pct=0%, f9=0.375"
BTCUSDT,ls_ratio,1.3234,0.6583,0.05,0.0329,"L/S ratio=1.323, short_pct=43%, f10=0.658"
BTCUSDT,active_addresses,445251.0,0.6098,0.06,0.0366,"addr=445251, ma30=471114, ratio=0.945, f11=0.610"
BTCUSDT,turbulence_calm,0.02155,0.9784,0.07,0.0685,"turbulence_norm=0.022, level=low, f12=0.978"
BTCUSDT,mvrv,1.196811,0.7677,0.07,0.0537,"MVRV=1.197, f13=0.768"
BTCUSDT,__total__,54.4,0.5444,1.0,0.5444,regime=sideways
ETHUSDT,rsi_intensity,51.009604,0.3109,0.15,0.0466,RSI-14 = 51.0
ETHUSDT,bollinger_deviation,1.560281,0.0879,0.11,0.0097,BB deviation = 1.56σ
ETHUSDT,garch_vol_regime,0.185929,0.1281,0.08,0.0103,"Vol trend = ↑ expanding (+18.6%), persistence=1.000"
ETHUSDT,fear_greed_zone,0.0227,0.5681,0.09,0.0511,"F&G: EF wr=54% vs baseline 51% (edge=+2%), EF mean=+0.5%, n=136"
ETHUSDT,month_seasonality,-0.085335,0.143,0.09,0.0129,"Month 8: median=-8.5%, wr=38%, n=8"
ETHUSDT,regime_favorability,0.0424,0.6272,0.09,0.0564,"Regime=sideways: baseline wr=49%, avg signal edge=+4.2%"
ETHUSDT,volume_surge,0.698022,0.4302,0.06,0.0258,"Vol ratio = 0.70x 20d avg, 3d price = -0.0%"
ETHUSDT,price_momentum,-0.018652,0.4966,0.06,0.0298,"5d mom = -1.5%, 20d mom = +0.4%, rel = -1.9%"
ETHUSDT,funding_rate,4e-05,0.4032,0.07,0.0282,"7d avg funding=0.00004, neg_pct=10%, f9=0.403"
ETHUSDT,ls_ratio,1.784,0.4549,0.05,0.0227,"L/S ratio=1.784, short_pct=36%, f10=0.455"
ETHUSDT,active_addresses,0.0,0.5,0.06,0.03,On-chain data BTC only (N/A)
ETHUSDT,turbulence_calm,0.02155,0.9784,0.07,0.0685,"turbulence_norm=0.022, level=low, f12=0.978"
ETHUSDT,mvrv,0.920175,0.8599,0.07,0.0602,"MVRV=0.920, f13=0.860"
ETHUSDT,__total__,45.2,0.4523,1.0,0.4523,regime=sideways
SOLUSDT,rsi_intensity,50.977885,0.3116,0.15,0.0467,RSI-14 = 51.0
SOLUSDT,bollinger_deviation,2.608734,0.0,0.11,0.0,BB deviation = 2.61σ
SOLUSDT,garch_vol_regime,0.214229,0.0715,0.08,0.0057,"Vol trend = ↑ expanding (+21.4%), persistence=0.983"
SOLUSDT,fear_greed_zone,-0.0119,0.4643,0.09,0.0418,"F&G: EF wr=48% vs baseline 49% (edge=-1%), EF mean=-1.1%, n=110"
SOLUSDT,month_seasonality,-0.177662,0.0134,0.09,0.0012,"Month 8: median=-17.8%, wr=40%, n=5"
SOLUSDT,regime_favorability,0.095033,0.7851,0.09,0.0707,"Regime=sideways: baseline wr=48%, avg signal edge=+9.5%"
SOLUSDT,volume_surge,0.785386,0.4215,0.06,0.0253,"Vol ratio = 0.79x 20d avg, 3d price = -1.1%"
SOLUSDT,price_momentum,-0.023685,0.5092,0.06,0.0306,"5d mom = -1.2%, 20d mom = +1.2%, rel = -2.4%"
SOLUSDT,funding_rate,5.5e-05,0.4064,0.07,0.0284,"7d avg funding=0.00006, neg_pct=14%, f9=0.406"
SOLUSDT,ls_ratio,2.712,0.1983,0.05,0.0099,"L/S ratio=2.712, short_pct=27%, f10=0.198"
SOLUSDT,active_addresses,0.0,0.5,0.06,0.03,On-chain data BTC only (N/A)
SOLUSDT,turbulence_calm,0.02155,0.9784,0.07,0.0685,"turbulence_norm=0.022, level=low, f12=0.978"
SOLUSDT,mvrv,1.196811,0.7677,0.07,0.0537,"MVRV=1.197, f13=0.768 (BTC proxy)"
SOLUSDT,__total__,41.3,0.4125,1.0,0.4125,regime=sideways
