symbol,threshold,holding_days,sample_size,mean_return,median_return,win_rate,sharpe_ratio,sortino_ratio,skewness,kurtosis,max_drawdown,avg_drawdown
BTCUSDT,-0.03,1,502,0.002773925101563316,0.004975307018180719,0.5637450199203188,0.05824999747218803,0.07434450556478317,-0.34473224398169583,2.528968487906688,-0.21144862196566883,-0.03488476624030062
BTCUSDT,-0.03,3,502,0.005993318945338153,0.010562803624208916,0.5796812749003984,0.08244378521712817,0.1185723445329026,-0.11489034852102215,1.8596030633400633,-0.32958294673254795,-0.05654697206058134
BTCUSDT,-0.03,7,502,0.01406193142480452,0.010879875215333734,0.5677290836653387,0.13214563549248248,0.20401606595649013,0.24278898444381294,1.8153542087675976,-0.3842932457224604,-0.07270570140735659
BTCUSDT,-0.05,1,242,0.0043625358509736655,0.003427190176225503,0.5247933884297521,0.08244657262184366,0.10782452753105726,-0.4216545056169781,2.439912280169592,-0.21144862196566883,-0.03454489402761382
BTCUSDT,-0.05,3,242,0.009588737453397238,0.008291365769222736,0.5661157024793388,0.1299593638955564,0.2336727525390299,0.2886009823651832,0.5828753659345765,-0.2219140553327027,-0.05423119028763399
BTCUSDT,-0.05,7,242,0.007778204776574713,0.005925311127229382,0.5413223140495868,0.07008875970940875,0.11097067919477668,0.41767743265706225,1.6103751280880552,-0.3349484885117644,-0.07692503443673089
BTCUSDT,-0.07,1,105,0.0077298539668334025,0.00671938064683042,0.5714285714285714,0.12302310923194876,0.1666474057675609,-0.3201150344194086,1.490838917314644,-0.21144862196566883,-0.04433222241562925
BTCUSDT,-0.07,3,105,0.01757302765402308,0.014083474850574706,0.5904761904761905,0.23773940205185304,0.5347369390476067,0.3726018912982049,-0.18935146485099796,-0.1262133351808814,-0.05186271924408564
BTCUSDT,-0.07,7,105,0.016309723807551697,0.009644138645809708,0.5523809523809524,0.13115210311794928,0.20471413011053227,0.28262021876185317,1.2735148166502004,-0.3349484885117644,-0.08253215335564784
ETHUSDT,-0.03,1,531,0.004628943148765001,0.006464088036532978,0.5668549905838042,0.08751405800130085,0.12493478553692938,0.03021649299083438,2.2742538677823845,-0.1844000359430501,-0.03896668033813202
ETHUSDT,-0.03,3,531,0.009048313223869094,0.008297971786509262,0.5668549905838042,0.10221753877361076,0.16037430221247145,0.5291896565904357,4.322251890330624,-0.3002509288420029,-0.06423908718224318
ETHUSDT,-0.03,7,531,0.013679767024727375,0.010220256221423085,0.5423728813559322,0.10525300462184001,0.16231579225936382,0.39349232770602177,2.7953645332733874,-0.4096967104633512,-0.08709866641271408
ETHUSDT,-0.05,1,266,0.005015495360578647,0.009298519216151324,0.5601503759398496,0.08332845811376738,0.12614717431594777,0.2001268972977201,1.9383985964401442,-0.1844000359430501,-0.04429692753614444
ETHUSDT,-0.05,3,266,0.004042409485255885,0.004459601385922829,0.5263157894736842,0.03940461724381354,0.06835583465763831,0.7716521794009715,3.9658548333977133,-0.2765452206616028,-0.07573732967106182
ETHUSDT,-0.05,7,266,0.006105219924791616,0.0010980136190564815,0.5037593984962406,0.04215266838335675,0.06421354040268581,0.45395884036669726,2.94000290946749,-0.4096967104633512,-0.09720699930498958
ETHUSDT,-0.07,1,144,0.00868318016815698,0.009894625806632584,0.5763888888888888,0.1348826916914784,0.20878756082686106,0.3936903734839075,2.0194197226863633,-0.17456449729905577,-0.04406301272102589
ETHUSDT,-0.07,3,144,0.00039910969846496347,0.00402645768509835,0.5277777777777778,0.004039001194939642,0.0070781801532793205,0.32874990183161795,0.8323452119693457,-0.2381154161517588,-0.08008826798386219
ETHUSDT,-0.07,7,144,0.0003134167508928047,-0.0043230082024588445,0.4861111111111111,0.0022481120118116706,0.0034492287293649343,0.3692712801767781,2.9582703245317257,-0.3760780766460281,-0.09825070043288844
SOLUSDT,-0.03,1,519,0.002855369690900572,0.001125489561225379,0.5144508670520231,0.045642537595883464,0.0637874355238892,-0.19063689515259458,6.2860070303358935,-0.4228090368113009,-0.04178122138888597
SOLUSDT,-0.03,3,519,0.009789225649595366,0.0029157605432093003,0.5163776493256262,0.08546930901985926,0.13897058569279463,0.7323474725208645,6.382531151522352,-0.5734599468592014,-0.07186801720290885
SOLUSDT,-0.03,7,519,0.017651733276271873,0.0020594874348920378,0.5048169556840078,0.10572914253001789,0.18964236401739498,0.9476678780062169,4.433945481301307,-0.5972127925413802,-0.09994999607829588
SOLUSDT,-0.05,1,264,0.003285216270647253,0.001014385972940346,0.5113636363636364,0.04476368284170958,0.06173110945610127,-0.2594559574587635,5.752405443930634,-0.4228090368113009,-0.04874013064547675
SOLUSDT,-0.05,3,264,0.014454603226729238,0.005700042850205089,0.5340909090909091,0.10903773934074142,0.17716332814428307,0.7708800090717968,6.065616246791809,-0.5734599468592014,-0.08195502050953364
SOLUSDT,-0.05,7,264,0.018958557619723867,0.0057493268870769665,0.5151515151515151,0.10553173096326741,0.18728711649909668,0.8793366603214647,3.927281724003407,-0.5972127925413802,-0.10936729864201566
SOLUSDT,-0.07,1,147,0.0008901479733794672,-0.002389120471401718,0.4897959183673469,0.010342090378132596,0.01409933134555017,-0.3010229400840303,4.850201950565927,-0.4228090368113009,-0.05758075312450189
SOLUSDT,-0.07,3,147,0.021324972275479942,0.011290477894690953,0.5578231292517006,0.14153710214264403,0.21782203602558417,0.7438722751981162,6.014110352381387,-0.5734599468592014,-0.0892830439281668
SOLUSDT,-0.07,7,147,0.02993547351122479,0.008835111104075644,0.5374149659863946,0.1544081135876107,0.2515712462871054,0.5042324616567552,2.9616413960953785,-0.5972127925413802,-0.1148718200947929
