symbol,date,close,rsi14,regime
BTCUSDT,2014-09-17,457.33,,unknown
BTCUSDT,2014-09-18,424.44,0.0,unknown
BTCUSDT,2014-09-19,394.8,0.0,unknown
BTCUSDT,2014-09-20,408.9,3.22,unknown
BTCUSDT,2014-09-21,398.82,3.14,unknown
BTCUSDT,2014-09-22,402.15,3.96,unknown
BTCUSDT,2014-09-23,435.79,12.11,unknown
BTCUSDT,2014-09-24,423.2,11.71,unknown
BTCUSDT,2014-09-25,411.57,11.33,unknown
BTCUSDT,2014-09-26,404.42,11.1,unknown
BTCUSDT,2014-09-27,399.52,10.93,unknown
BTCUSDT,2014-09-28,377.18,10.18,unknown
BTCUSDT,2014-09-29,375.47,10.13,unknown
BTCUSDT,2014-09-30,386.94,13.64,unknown
BTCUSDT,2014-10-01,383.61,13.47,unknown
BTCUSDT,2014-10-02,375.07,13.04,unknown
BTCUSDT,2014-10-03,359.51,12.26,unknown
BTCUSDT,2014-10-04,328.87,10.89,unknown
BTCUSDT,2014-10-05,320.51,10.54,unknown
BTCUSDT,2014-10-06,330.08,13.92,unknown
BTCUSDT,2014-10-07,336.19,16.1,unknown
BTCUSDT,2014-10-08,352.94,21.94,bear
BTCUSDT,2014-10-09,365.03,25.94,bear
BTCUSDT,2014-10-10,361.56,25.54,bull
BTCUSDT,2014-10-11,362.3,25.81,bull
BTCUSDT,2014-10-12,378.55,31.59,bull
BTCUSDT,2014-10-13,390.41,35.53,bull
BTCUSDT,2014-10-14,400.87,38.88,bull
BTCUSDT,2014-10-15,394.77,37.65,bull
BTCUSDT,2014-10-16,382.56,35.25,bull
BTCUSDT,2014-10-17,383.76,35.69,bull
BTCUSDT,2014-10-18,391.44,38.53,bull
BTCUSDT,2014-10-19,389.55,38.08,bull
BTCUSDT,2014-10-20,382.85,36.47,bear
BTCUSDT,2014-10-21,386.48,38.0,bear
BTCUSDT,2014-10-22,383.16,37.12,bear
BTCUSDT,2014-10-23,358.42,31.3,bear
BTCUSDT,2014-10-24,358.35,31.28,bear
BTCUSDT,2014-10-25,347.27,28.93,bear
BTCUSDT,2014-10-26,354.7,32.6,bear
BTCUSDT,2014-10-27,352.99,32.18,bear
BTCUSDT,2014-10-28,357.62,34.59,bear
BTCUSDT,2014-10-29,335.59,29.27,bear
BTCUSDT,2014-10-30,345.3,34.08,bear
BTCUSDT,2014-10-31,338.32,32.38,bear
BTCUSDT,2014-11-01,325.75,29.51,bear
BTCUSDT,2014-11-02,325.89,29.59,bear
BTCUSDT,2014-11-03,327.55,30.53,bear
BTCUSDT,2014-11-04,330.49,32.25,bear
BTCUSDT,2014-11-05,339.49,37.38,bull
BTCUSDT,2014-11-06,349.29,42.49,bull
BTCUSDT,2014-11-07,342.42,40.02,bull
BTCUSDT,2014-11-08,345.49,41.65,bull
BTCUSDT,2014-11-09,363.26,50.1,bull
BTCUSDT,2014-11-10,366.92,51.65,bull
BTCUSDT,2014-11-11,367.7,51.99,bull
BTCUSDT,2014-11-12,423.56,68.96,bull
BTCUSDT,2014-11-13,420.73,67.66,bull
BTCUSDT,2014-11-14,397.82,58.07,bull
BTCUSDT,2014-11-15,376.13,50.75,bull
BTCUSDT,2014-11-16,387.88,54.13,bull
BTCUSDT,2014-11-17,387.41,53.97,bull
BTCUSDT,2014-11-18,375.2,49.86,bull
BTCUSDT,2014-11-19,380.55,51.6,bear
BTCUSDT,2014-11-20,357.84,44.54,bear
BTCUSDT,2014-11-21,350.85,42.61,bear
BTCUSDT,2014-11-22,352.92,43.39,bear
BTCUSDT,2014-11-23,367.57,48.72,bear
BTCUSDT,2014-11-24,376.9,51.83,bear
BTCUSDT,2014-11-25,375.35,51.28,bear
BTCUSDT,2014-11-26,368.37,48.74,bear
BTCUSDT,2014-11-27,369.67,49.24,bull
BTCUSDT,2014-11-28,376.45,51.9,bull
BTCUSDT,2014-11-29,375.49,51.49,bull
BTCUSDT,2014-11-30,378.05,52.57,bull
BTCUSDT,2014-12-01,379.24,53.09,bull
BTCUSDT,2014-12-02,381.32,54.04,bull
BTCUSDT,2014-12-03,375.01,50.68,bull
BTCUSDT,2014-12-04,369.6,47.93,sideways
BTCUSDT,2014-12-05,376.85,51.72,bull
BTCUSDT,2014-12-06,374.79,50.59,sideways
BTCUSDT,2014-12-07,375.1,50.76,sideways
BTCUSDT,2014-12-08,361.91,43.72,sideways
BTCUSDT,2014-12-09,352.22,39.4,sideways
BTCUSDT,2014-12-10,346.36,37.02,sideways
BTCUSDT,2014-12-11,350.51,39.79,sideways
BTCUSDT,2014-12-12,352.54,41.16,sideways
BTCUSDT,2014-12-13,347.38,38.75,sideways
BTCUSDT,2014-12-14,351.63,41.78,sideways
BTCUSDT,2014-12-15,345.35,38.73,sideways
BTCUSDT,2014-12-16,327.06,31.54,sideways
BTCUSDT,2014-12-17,319.78,29.21,sideways
BTCUSDT,2014-12-18,311.4,26.76,sideways
BTCUSDT,2014-12-19,317.84,31.51,sideways
BTCUSDT,2014-12-20,329.96,39.47,sideways
BTCUSDT,2014-12-21,320.84,36.07,sideways
BTCUSDT,2014-12-22,331.89,42.52,sideways
BTCUSDT,2014-12-23,334.57,44.0,bull
BTCUSDT,2014-12-24,322.53,39.14,bull
BTCUSDT,2014-12-25,319.01,37.82,bull
BTCUSDT,2014-12-26,327.92,43.05,bull
BTCUSDT,2014-12-27,315.86,38.35,sideways
BTCUSDT,2014-12-28,317.24,39.17,sideways
BTCUSDT,2014-12-29,312.67,37.4,sideways
BTCUSDT,2014-12-30,310.74,36.64,sideways
BTCUSDT,2014-12-31,320.19,42.73,sideways
BTCUSDT,2015-01-01,314.25,40.12,sideways
BTCUSDT,2015-01-02,315.03,40.63,sideways
BTCUSDT,2015-01-03,281.08,29.01,bear
BTCUSDT,2015-01-04,264.2,25.15,bear
BTCUSDT,2015-01-05,274.47,31.15,bear
BTCUSDT,2015-01-06,286.19,37.32,bear
BTCUSDT,2015-01-07,294.34,41.26,bear
BTCUSDT,2015-01-08,283.35,37.8,bear
BTCUSDT,2015-01-09,290.41,41.21,bear
BTCUSDT,2015-01-10,274.8,36.46,bear
BTCUSDT,2015-01-11,265.66,33.99,bull
BTCUSDT,2015-01-12,267.8,35.09,bear
BTCUSDT,2015-01-13,225.86,25.91,bear
BTCUSDT,2015-01-14,178.1,19.61,bear
BTCUSDT,2015-01-15,209.84,31.52,bear
BTCUSDT,2015-01-16,208.1,31.25,bear
BTCUSDT,2015-01-17,199.26,29.83,bear
BTCUSDT,2015-01-18,210.34,33.88,bear
BTCUSDT,2015-01-19,214.86,35.51,bear
BTCUSDT,2015-01-20,211.32,34.78,bear
BTCUSDT,2015-01-21,226.9,40.53,bull
BTCUSDT,2015-01-22,233.41,42.8,bull
BTCUSDT,2015-01-23,232.88,42.66,bull
BTCUSDT,2015-01-24,247.85,47.94,bull
BTCUSDT,2015-01-25,253.72,49.89,bull
BTCUSDT,2015-01-26,273.47,55.87,bull
BTCUSDT,2015-01-27,263.48,52.46,bull
BTCUSDT,2015-01-28,233.91,43.91,bull
BTCUSDT,2015-01-29,233.51,43.81,bull
BTCUSDT,2015-01-30,226.43,41.91,bear
BTCUSDT,2015-01-31,217.46,39.58,bear
BTCUSDT,2015-02-01,226.97,43.19,bear
BTCUSDT,2015-02-02,238.23,47.21,bear
BTCUSDT,2015-02-03,227.27,43.95,bear
BTCUSDT,2015-02-04,226.85,43.83,bear
BTCUSDT,2015-02-05,217.11,40.92,bear
BTCUSDT,2015-02-06,222.27,43.07,bear
BTCUSDT,2015-02-07,227.75,45.35,bull
BTCUSDT,2015-02-08,223.41,43.86,bear
BTCUSDT,2015-02-09,220.11,42.7,bear
BTCUSDT,2015-02-10,219.84,42.6,bear
BTCUSDT,2015-02-11,219.18,42.35,bear
BTCUSDT,2015-02-12,221.76,43.78,bull
BTCUSDT,2015-02-13,235.43,50.76,bull
BTCUSDT,2015-02-14,257.32,59.44,bull
BTCUSDT,2015-02-15,234.82,49.73,bull
BTCUSDT,2015-02-16,233.84,49.36,bull
BTCUSDT,2015-02-17,243.61,53.18,bull
BTCUSDT,2015-02-18,236.33,50.14,bull
BTCUSDT,2015-02-19,240.28,51.75,bull
BTCUSDT,2015-02-20,243.78,53.19,bull
BTCUSDT,2015-02-21,244.53,53.51,bear
BTCUSDT,2015-02-22,235.98,49.36,bull
BTCUSDT,2015-02-23,238.89,50.76,bull
BTCUSDT,2015-02-24,238.74,50.68,bear
BTCUSDT,2015-02-25,237.47,49.99,bull
BTCUSDT,2015-02-26,236.43,49.38,bear
BTCUSDT,2015-02-27,253.83,58.38,bull
BTCUSDT,2015-02-28,254.26,58.58,bull
BTCUSDT,2015-03-01,260.2,61.29,bull
BTCUSDT,2015-03-02,275.67,67.3,bull
BTCUSDT,2015-03-03,281.7,69.3,bull
BTCUSDT,2015-03-04,273.09,63.34,bull
BTCUSDT,2015-03-05,276.18,64.52,bull
BTCUSDT,2015-03-06,272.72,62.12,bull
BTCUSDT,2015-03-07,276.26,63.61,bull
BTCUSDT,2015-03-08,274.35,62.19,bull
BTCUSDT,2015-03-09,289.61,68.3,bull
BTCUSDT,2015-03-10,291.76,69.06,bull
BTCUSDT,2015-03-11,296.38,70.69,bull
BTCUSDT,2015-03-12,294.35,68.98,bull
BTCUSDT,2015-03-13,285.34,61.81,bull
BTCUSDT,2015-03-14,281.89,59.26,bull
BTCUSDT,2015-03-15,286.39,61.49,bull
BTCUSDT,2015-03-16,290.59,63.49,bull
BTCUSDT,2015-03-17,285.51,59.46,bear
BTCUSDT,2015-03-18,256.3,42.7,bear
BTCUSDT,2015-03-19,260.93,45.33,bear
BTCUSDT,2015-03-20,261.75,45.8,bear
BTCUSDT,2015-03-21,260.02,44.92,bear
BTCUSDT,2015-03-22,267.96,49.72,bear
BTCUSDT,2015-03-23,266.74,49.02,bear
BTCUSDT,2015-03-24,245.6,38.72,bear
BTCUSDT,2015-03-25,246.2,39.12,bear
BTCUSDT,2015-03-26,248.53,40.7,bear
BTCUSDT,2015-03-27,247.03,39.98,bear
BTCUSDT,2015-03-28,252.8,44.08,bear
BTCUSDT,2015-03-29,242.71,39.06,bear
BTCUSDT,2015-03-30,247.53,42.43,bear
BTCUSDT,2015-03-31,244.22,40.76,bear
BTCUSDT,2015-04-01,247.27,42.99,bull
BTCUSDT,2015-04-02,253.01,47.01,bull
BTCUSDT,2015-04-03,254.32,47.93,bull
BTCUSDT,2015-04-04,253.7,47.51,bull
BTCUSDT,2015-04-05,260.6,52.43,bull
BTCUSDT,2015-04-06,255.49,48.79,bull
BTCUSDT,2015-04-07,253.18,47.19,bull
BTCUSDT,2015-04-08,245.02,41.96,sideways
BTCUSDT,2015-04-09,243.68,41.15,sideways
BTCUSDT,2015-04-10,236.07,36.82,sideways
BTCUSDT,2015-04-11,236.55,37.27,sideways
BTCUSDT,2015-04-12,236.15,37.03,bear
BTCUSDT,2015-04-13,224.59,30.94,bear
BTCUSDT,2015-04-14,219.16,28.56,bear
BTCUSDT,2015-04-15,223.83,33.31,bear
BTCUSDT,2015-04-16,228.57,37.83,sideways
BTCUSDT,2015-04-17,222.88,34.78,sideways
BTCUSDT,2015-04-18,223.36,35.25,sideways
BTCUSDT,2015-04-19,222.6,34.82,sideways
BTCUSDT,2015-04-20,224.63,37.03,bull
BTCUSDT,2015-04-21,235.27,47.17,bull
BTCUSDT,2015-04-22,234.18,46.34,bull
BTCUSDT,2015-04-23,236.46,48.37,bull
BTCUSDT,2015-04-24,231.27,44.27,bull
BTCUSDT,2015-04-25,226.39,40.77,bull
BTCUSDT,2015-04-26,219.43,36.35,sideways
BTCUSDT,2015-04-27,229.29,45.38,bull
BTCUSDT,2015-04-28,225.85,43.09,sideways
BTCUSDT,2015-04-29,225.81,43.05,sideways
BTCUSDT,2015-04-30,236.15,51.59,sideways
BTCUSDT,2015-05-01,232.08,48.51,bull
BTCUSDT,2015-05-02,234.93,50.73,bull
BTCUSDT,2015-05-03,240.36,54.73,bull
BTCUSDT,2015-05-04,239.02,53.57,bull
