symbol,signal,holding_days,baseline_wr,baseline_n,all_wr,all_n,bull_wr,bull_n,bull_lo,bull_hi,bull_edge,bear_wr,bear_n,bear_lo,bear_hi,bear_edge,sideways_wr,sideways_n,sideways_lo,sideways_hi,sideways_edge,chi2_pvalue,significant,best_regime,worst_regime
BTCUSDT,rsi,1,0.5233,4353,0.5792,183,,0,,,,0.5923,130,0.5064,0.673,0.069,0.6111,18,0.3862,0.797,0.0878,1.0,False,sideways,bear
BTCUSDT,rsi,3,0.5426,4351,0.6175,183,,0,,,,0.6077,130,0.5218,0.6874,0.0651,0.6667,18,0.4375,0.8372,0.1241,0.8232,False,sideways,bear
BTCUSDT,rsi,7,0.5422,4347,0.5847,183,,0,,,,0.5769,130,0.491,0.6584,0.0347,0.7778,18,0.5478,0.91,0.2356,0.1693,False,sideways,bear
BTCUSDT,bollinger,1,0.5233,4353,0.5607,173,0.25,4,0.0456,0.6994,-0.2733,0.5595,84,0.4531,0.6608,0.0362,0.5676,74,0.4541,0.6743,0.0443,1.0,False,sideways,bear
BTCUSDT,bollinger,3,0.5426,4351,0.5318,173,0.25,4,0.0456,0.6994,-0.2926,0.4881,84,0.3841,0.5932,-0.0545,0.5676,74,0.4541,0.6743,0.025,0.4017,False,sideways,bear
BTCUSDT,bollinger,7,0.5422,4347,0.5665,173,0.75,4,0.3006,0.9544,0.2078,0.5119,84,0.4068,0.6159,-0.0303,0.6216,74,0.5077,0.7235,0.0794,0.2199,False,sideways,bear
BTCUSDT,drop3,1,0.5233,4353,0.5637,502,0.6115,139,0.5285,0.6885,0.0882,0.5578,147,0.4771,0.6356,0.0345,0.5424,177,0.4689,0.6141,0.0191,0.4475,False,bull,sideways
BTCUSDT,drop3,3,0.5426,4351,0.5797,502,0.6475,139,0.5651,0.722,0.1049,0.5986,147,0.5179,0.6744,0.056,0.5198,177,0.4465,0.5922,-0.0228,0.066,False,bull,sideways
BTCUSDT,drop3,7,0.5422,4347,0.5677,502,0.6259,139,0.5431,0.7019,0.0837,0.619,147,0.5385,0.6936,0.0768,0.5085,177,0.4354,0.5812,-0.0337,0.0541,False,bull,sideways
BTCUSDT,vol_spike,1,0.5233,4353,0.5479,261,0.5781,128,0.4915,0.6602,0.0548,0.5122,41,0.3648,0.6575,-0.0111,0.5256,78,0.4162,0.6326,0.0023,0.6595,False,bull,bear
BTCUSDT,vol_spike,3,0.5426,4351,0.6207,261,0.6875,128,0.6027,0.7613,0.1449,0.4878,41,0.3425,0.6352,-0.0548,0.5769,78,0.4662,0.6804,0.0343,0.0467,True,bull,bear
BTCUSDT,vol_spike,7,0.5422,4347,0.6169,261,0.7188,128,0.6354,0.7894,0.1766,0.439,41,0.2989,0.5896,-0.1032,0.5385,78,0.4286,0.6447,-0.0037,0.0014,True,bull,bear
ETHUSDT,rsi,1,0.5106,3204,0.5116,172,,0,,,,0.5111,135,0.4277,0.594,0.0005,1.0,1,0.2065,1.0,0.4894,1.0,False,bear,bear
ETHUSDT,rsi,3,0.5222,3202,0.4767,172,,0,,,,0.4593,135,0.3775,0.5433,-0.0629,1.0,1,0.2065,1.0,0.4778,1.0,False,bear,bear
ETHUSDT,rsi,7,0.5141,3198,0.5233,172,,0,,,,0.5259,135,0.4421,0.6083,0.0118,1.0,1,0.2065,1.0,0.4859,1.0,False,bear,bear
ETHUSDT,bollinger,1,0.5106,3204,0.5419,155,1.0,6,0.6097,1.0,0.4894,0.4898,98,0.3931,0.5873,-0.0208,0.5814,43,0.4333,0.7162,0.0708,0.0409,True,bull,bear
ETHUSDT,bollinger,3,0.5222,3202,0.4516,155,0.5,6,0.1876,0.8124,-0.0222,0.3776,98,0.2879,0.4764,-0.1446,0.6047,43,0.4558,0.7363,0.0825,0.0429,True,sideways,bear
ETHUSDT,bollinger,7,0.5141,3198,0.4323,155,0.6667,6,0.3,0.9032,0.1526,0.3878,98,0.2973,0.4867,-0.1263,0.5581,43,0.4111,0.6957,0.044,0.0951,False,bull,bear
ETHUSDT,drop3,1,0.5106,3204,0.5669,531,0.664,125,0.5774,0.7408,0.1534,0.5131,191,0.4426,0.583,0.0025,0.5602,166,0.4842,0.6335,0.0496,0.029,True,bull,bear
ETHUSDT,drop3,3,0.5222,3202,0.5669,531,0.616,125,0.5285,0.6966,0.0938,0.5079,191,0.4375,0.5779,-0.0143,0.5904,166,0.5143,0.6623,0.0682,0.1169,False,bull,bear
ETHUSDT,drop3,7,0.5141,3198,0.5424,531,0.656,125,0.5692,0.7335,0.1419,0.5288,191,0.4581,0.5983,0.0147,0.5,166,0.4248,0.5752,-0.0141,0.0213,True,bull,sideways
ETHUSDT,vol_spike,1,0.5106,3204,0.5302,215,0.5663,83,0.4591,0.6676,0.0557,0.3654,52,0.248,0.5013,-0.1452,0.5938,64,0.4714,0.7054,0.0832,0.0289,True,sideways,bear
ETHUSDT,vol_spike,3,0.5222,3202,0.5907,215,0.6265,83,0.519,0.7228,0.1043,0.3846,52,0.2647,0.5204,-0.1376,0.6406,64,0.5182,0.7471,0.1184,0.008,True,sideways,bear
ETHUSDT,vol_spike,7,0.5141,3198,0.5395,215,0.5663,83,0.4591,0.6676,0.0522,0.4231,52,0.2987,0.5581,-0.091,0.5469,64,0.4257,0.6627,0.0328,0.2405,False,bull,bear
SOLUSDT,rsi,1,0.4924,2169,0.5048,105,,0,,,,0.5147,68,0.3983,0.6295,0.0223,1.0,1,0.2065,1.0,0.5076,1.0,False,bear,bear
SOLUSDT,rsi,3,0.5016,2167,0.5429,105,,0,,,,0.5882,68,0.4696,0.6974,0.0866,0.0,1,0.0,0.7935,-0.5016,1.0,False,bear,bear
SOLUSDT,rsi,7,0.4933,2163,0.6,105,,0,,,,0.6618,68,0.5434,0.7629,0.1685,1.0,1,0.2065,1.0,0.5067,1.0,False,bear,bear
SOLUSDT,bollinger,1,0.4924,2169,0.5577,104,0.0,1,0.0,0.7935,-0.4924,0.5263,57,0.3992,0.6501,0.0339,0.5714,42,0.4221,0.7088,0.079,0.8093,False,sideways,bear
SOLUSDT,bollinger,3,0.5016,2167,0.5769,104,1.0,1,0.2065,1.0,0.4984,0.5263,57,0.3992,0.6501,0.0247,0.5952,42,0.4449,0.7296,0.0936,0.633,False,sideways,bear
SOLUSDT,bollinger,7,0.4933,2163,0.5385,104,0.0,1,0.0,0.7935,-0.4933,0.4737,57,0.3499,0.6008,-0.0196,0.619,42,0.4681,0.75,0.1257,0.2189,False,sideways,bear
SOLUSDT,drop3,1,0.4924,2169,0.5145,519,0.5043,115,0.4143,0.5941,0.0119,0.5301,166,0.4544,0.6045,0.0377,0.5085,177,0.4354,0.5812,0.0161,0.8895,False,bear,bull
SOLUSDT,drop3,3,0.5016,2167,0.5164,519,0.5217,115,0.4312,0.6109,0.0201,0.5361,166,0.4603,0.6103,0.0345,0.4802,177,0.4078,0.5535,-0.0214,0.5644,False,bear,sideways
SOLUSDT,drop3,7,0.4933,2163,0.5048,519,0.513,115,0.4228,0.6025,0.0197,0.494,166,0.4189,0.5693,0.0007,0.4802,177,0.4078,0.5535,-0.0131,0.8604,False,bull,sideways
SOLUSDT,vol_spike,1,0.4924,2169,0.543,151,0.6,65,0.4786,0.7103,0.1076,0.4444,36,0.2954,0.6042,-0.048,0.4848,33,0.325,0.6478,-0.0076,0.2717,False,bull,bear
SOLUSDT,vol_spike,3,0.5016,2167,0.6159,151,0.6923,65,0.572,0.7911,0.1907,0.5278,36,0.3701,0.6801,0.0262,0.5455,33,0.3799,0.7016,0.0439,0.1776,False,bull,bear
SOLUSDT,vol_spike,7,0.4933,2163,0.6225,151,0.6,65,0.4786,0.7103,0.1067,0.5556,36,0.3958,0.7046,0.0623,0.6364,33,0.4662,0.7781,0.1431,0.7898,False,sideways,bear
