row_type,label,value,extra1,extra2,extra3
equity,2023-09-30,10000.0,10000.0,10000.0,10000.0
equity,2023-10-01,10627.0767,10630.8781,10376.6824,10708.7331
equity,2023-10-02,10355.237,10360.9791,10208.7181,10519.9858
equity,2023-10-03,10353.287,10360.6676,10171.3379,10533.5888
equity,2023-10-04,10320.1793,10328.9231,10308.3214,10534.5782
equity,2023-10-05,10130.1956,10138.4177,10166.1219,10363.2826
equity,2023-10-06,10375.2734,10384.6343,10362.9059,10621.6134
equity,2023-10-07,10334.7156,10343.3126,10371.1536,10599.3793
equity,2023-10-08,10322.3724,10331.0697,10358.6387,10584.063
equity,2023-10-09,10001.8688,10007.3514,10228.3312,10285.6538
equity,2023-10-10,9950.8302,9956.5138,10156.8914,10242.3381
equity,2023-10-11,9869.4984,9876.0316,9964.9229,10113.1832
equity,2023-10-12,9695.0461,9699.9795,9921.7154,9947.2184
equity,2023-10-13,9814.3774,9820.0988,9960.8642,10077.8793
equity,2023-10-14,9847.0169,9853.2025,9960.6165,10113.1857
equity,2023-10-15,9876.606,9882.19,10071.0979,10158.7303
equity,2023-10-16,10439.4428,10446.5745,10575.3321,10861.2765
equity,2023-10-17,10343.9159,10354.1246,10536.872,10834.2847
equity,2023-10-18,10256.2069,10263.8419,10504.4608,10711.8798
equity,2023-10-19,10525.7585,10539.087,10649.6203,11094.6267
equity,2023-10-20,11013.2245,11035.5261,11006.7642,11710.0939
equity,2023-10-21,11418.1761,11441.3002,11094.0764,12205.3081
equity,2023-10-22,11464.7013,11485.4366,11122.0669,12159.6586
equity,2023-10-23,12461.6993,12485.8637,12268.7398,13380.6804
equity,2023-10-24,12397.9511,12411.2766,12571.0594,13257.0332
equity,2023-10-25,12789.2641,12808.6816,12794.0254,13831.5196
equity,2023-10-26,12826.8732,12846.6873,12665.6611,13810.8547
equity,2023-10-27,12604.5406,12623.4554,12574.1273,13564.8036
equity,2023-10-28,12607.6746,12626.2103,12640.7892,13589.4415
equity,2023-10-29,12862.8613,12881.9451,12807.2486,13908.7259
equity,2023-10-30,13174.5259,13192.1605,12793.856,14294.3785
equity,2023-10-31,13653.2425,13676.1233,12855.1948,14964.9126
equity,2023-11-01,14179.3457,14202.3628,13140.5237,15649.2919
equity,2023-11-02,13851.0202,13873.4187,12955.4846,15319.0504
equity,2023-11-03,13827.9777,13849.6866,12879.128,15154.1476
equity,2023-11-04,14263.6974,14289.1405,13008.864,15711.3653
equity,2023-11-05,14224.9611,14253.5366,12996.6867,15524.4711
equity,2023-11-06,14339.4425,14368.6959,12992.2427,15667.0103
equity,2023-11-07,14476.5938,14504.2837,13142.863,15925.4638
equity,2023-11-08,14519.3483,14547.1525,13221.3692,15994.8952
equity,2023-11-09,15496.6095,15534.9532,13606.2145,16620.9894
equity,2023-11-10,16743.8912,16795.4444,13836.4302,18559.3227
equity,2023-11-11,16594.1808,16646.6644,13771.1979,18432.8053
equity,2023-11-12,16566.5424,16618.9247,13740.2236,18416.6973
equity,2023-11-13,16092.4433,16144.7006,13535.4751,17656.4049
equity,2023-11-14,16258.5492,16314.1791,13177.7482,18121.1416
equity,2023-11-15,17663.664,17728.2519,14046.5366,20001.2183
equity,2023-11-16,16429.4122,16482.5784,13406.5864,18469.8624
equity,2023-11-17,16548.3297,16602.5483,13570.453,18673.0432
equity,2023-11-18,16561.3308,16615.713,13566.3813,18683.3145
equity,2023-11-19,17092.3043,17150.4637,13863.343,19314.2144
equity,2023-11-20,16690.502,16737.4178,13896.868,18676.4975
equity,2023-11-21,15770.8819,15807.4641,13280.1558,17557.1415
equity,2023-11-22,16911.8869,16958.2642,13880.3235,18825.5158
equity,2023-11-23,16788.5359,16833.5514,13827.4018,18644.4504
equity,2023-11-24,16929.7295,16976.3711,13987.0953,18804.4555
equity,2023-11-25,17142.5661,17193.7513,14015.4667,19110.4559
equity,2023-11-26,16918.7158,16970.2506,13897.6705,18849.7895
equity,2023-11-27,16538.5495,16584.9606,13814.2554,18419.5734
equity,2023-11-28,17001.2444,17044.5626,14028.1829,19035.6934
equity,2023-11-29,17051.8584,17097.9436,14038.3455,19193.5108
equity,2023-11-30,17091.3107,17138.7128,13984.3012,19150.5213
equity,2023-12-01,17390.2307,17437.0517,14346.2142,19509.8121
equity,2023-12-02,18107.9157,18165.7269,14638.2583,20305.3911
equity,2023-12-03,18187.8446,18245.7751,14824.4271,20341.8887
equity,2023-12-04,18494.4919,18541.5952,15566.6821,20705.8281
equity,2023-12-05,18890.5412,18936.9153,16345.5895,21214.0784
equity,2023-12-06,18761.3853,18811.9279,16221.6633,21260.3131
equity,2023-12-07,19640.385,19701.8848,16053.3962,22021.0202
equity,2023-12-08,20454.9179,20531.2633,16377.4618,23282.7411
equity,2023-12-09,20088.505,20161.5909,16214.0761,22781.2287
equity,2023-12-10,20358.4651,20429.9575,16233.9942,23132.3658
equity,2023-12-11,19201.9273,19269.7926,15293.6667,21790.9148
equity,2023-12-12,19002.5509,19070.1252,15370.1987,21606.8863
equity,2023-12-13,19597.0109,19666.7829,15904.3592,22336.5796
equity,2023-12-14,20225.9431,20298.8546,15953.7625,23041.1583
equity,2023-12-15,19480.9328,19551.8249,15548.0156,22279.3711
equity,2023-12-16,19649.244,19721.8195,15663.1002,22520.3545
equity,2023-12-17,19206.0299,19274.4283,15338.4726,21927.0889
equity,2023-12-18,19760.3702,19833.6128,15805.2773,22753.4962
equity,2023-12-19,19467.9698,19540.6735,15674.3767,22466.4519
equity,2023-12-20,20555.5589,20646.6135,16186.7346,24112.1372
equity,2023-12-21,21663.2471,21775.0674,16267.1644,25666.2891
equity,2023-12-22,22280.6462,22399.1375,16314.9063,26201.7582
equity,2023-12-23,22886.0765,23029.8535,16219.1038,27228.5704
equity,2023-12-24,22961.1048,23107.7132,15950.8496,27511.5332
equity,2023-12-25,23663.6222,23831.0622,16172.2324,28647.7144
equity,2023-12-26,22777.0439,22933.0115,15767.0331,27371.702
equity,2023-12-27,23082.5316,23219.857,16109.0888,27111.0327
equity,2023-12-28,22485.3805,22617.4617,15806.8779,26282.0447
equity,2023-12-29,22535.0429,22684.0908,15610.9216,26568.1671
equity,2023-12-30,22211.5111,22348.3978,15632.2433,26103.814
