symbol,threshold,holding_days,fold,train_start,train_end,test_start,test_end,train_n,test_n,train_win_rate,test_win_rate,train_mean_return,test_mean_return,train_sharpe,test_sharpe,pass_flag
BTCUSDT,-0.03,1,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,154,66,0.5909,0.5455,0.002844,0.0077,0.9629,2.7769,consistent
BTCUSDT,-0.03,3,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,154,66,0.5195,0.5909,0.000944,0.014043,0.1928,3.4258,consistent
BTCUSDT,-0.03,7,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,154,65,0.526,0.6462,0.004841,0.020749,0.6817,3.1636,consistent
BTCUSDT,-0.05,1,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,76,36,0.5789,0.4722,0.007841,0.005137,2.5535,1.7405,weakened
BTCUSDT,-0.05,3,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,76,36,0.5395,0.5278,0.006004,0.00641,1.2046,1.4646,consistent
BTCUSDT,-0.05,7,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,76,35,0.5395,0.5429,-0.001546,-0.010542,-0.2087,-1.7298,consistent
BTCUSDT,-0.07,1,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,34,14,0.5294,0.6429,0.003176,0.015567,0.9071,4.9626,low_sample
BTCUSDT,-0.07,3,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,34,14,0.4412,0.7143,-0.004236,0.0326,-0.8125,8.6401,low_sample
BTCUSDT,-0.07,7,1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,34,14,0.5294,0.6429,-0.012164,-0.00264,-1.4063,-0.4637,low_sample
BTCUSDT,-0.03,1,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,144,48,0.5694,0.5833,0.005377,0.000997,1.8986,0.3043,weakened
BTCUSDT,-0.03,3,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,144,48,0.5764,0.5625,0.013327,-0.002043,3.1264,-0.4409,weakened
BTCUSDT,-0.03,7,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,143,48,0.6224,0.4792,0.022655,-0.005054,3.622,-0.7959,weakened
BTCUSDT,-0.05,1,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,66,23,0.5152,0.5217,0.011473,-0.002449,4.0648,-0.6786,weakened
BTCUSDT,-0.05,3,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,66,23,0.6061,0.5217,0.019598,-0.010682,4.1803,-2.8241,weakened
BTCUSDT,-0.05,7,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,65,23,0.6308,0.4348,0.012519,-0.017394,1.8553,-3.3455,failed
BTCUSDT,-0.07,1,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,28,12,0.6429,0.5,0.020252,0.00101,6.8318,0.2608,low_sample
BTCUSDT,-0.07,3,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,28,12,0.6786,0.4167,0.034088,-0.017047,7.8014,-4.8366,low_sample
BTCUSDT,-0.07,7,2,2019-01-01,2021-12-31,2022-01-01,2022-12-31,28,12,0.7143,0.3333,0.018873,-0.025348,2.5134,-4.6994,low_sample
BTCUSDT,-0.03,1,3,2020-01-01,2022-12-31,2023-01-01,2023-12-31,148,21,0.5811,0.619,0.006071,0.008579,2.0984,6.8554,consistent
