symbol,test_year,n_train,n_test,auc,rmse,dir_acc,train_start,train_end,cv_method,row_type,feature,feature_name,importance,rank
BTCUSDT,2016.0,444.0,366.0,0.5239,0.0836,0.4781,2014-10-07,2015-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2017.0,810.0,365.0,0.4755,0.1549,0.4986,2014-10-07,2016-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2018.0,1175.0,365.0,0.5302,0.135,0.4767,2014-10-07,2017-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2019.0,1540.0,365.0,0.4681,0.1001,0.5479,2014-10-07,2018-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2020.0,1905.0,366.0,0.6151,0.1101,0.5601,2014-10-07,2019-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2021.0,2271.0,365.0,0.4784,0.1331,0.4658,2014-10-07,2020-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2022.0,2636.0,365.0,0.479,0.0896,0.4767,2014-10-07,2021-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2023.0,3001.0,365.0,0.5177,0.0768,0.4384,2014-10-07,2022-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2024.0,3366.0,366.0,0.5673,0.0754,0.6148,2014-10-07,2023-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2025.0,3732.0,365.0,0.5006,0.0596,0.4986,2014-10-07,2024-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,2026.0,4097.0,210.0,0.5193,0.0669,0.5143,2014-10-07,2025-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2019.0,391.0,365.0,0.4265,0.1465,0.5151,2017-11-29,2018-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2020.0,756.0,366.0,0.4922,0.2065,0.4153,2017-11-29,2019-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2021.0,1122.0,365.0,0.4794,0.1788,0.4849,2017-11-29,2020-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2022.0,1487.0,365.0,0.5508,0.1269,0.4356,2017-11-29,2021-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2023.0,1852.0,365.0,0.56,0.0728,0.5041,2017-11-29,2022-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2024.0,2217.0,366.0,0.5968,0.0973,0.571,2017-11-29,2023-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2025.0,2583.0,365.0,0.6036,0.1028,0.5452,2017-11-29,2024-12-24,purged_expanding (embargo=7d),fold,,,,
ETHUSDT,2026.0,2948.0,210.0,0.6153,0.0876,0.4762,2017-11-29,2025-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2022.0,452.0,365.0,0.5001,0.2172,0.3836,2020-09-29,2021-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2023.0,817.0,365.0,0.4949,0.196,0.4795,2020-09-29,2022-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2024.0,1182.0,366.0,0.509,0.127,0.5164,2020-09-29,2023-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2025.0,1548.0,365.0,0.5707,0.1152,0.5644,2020-09-29,2024-12-24,purged_expanding (embargo=7d),fold,,,,
SOLUSDT,2026.0,1913.0,210.0,0.4493,0.1036,0.4476,2020-09-29,2025-12-24,purged_expanding (embargo=7d),fold,,,,
BTCUSDT,,,,,,,,,,importance,f5_cont,Month Seasonality,0.0812,1.0
BTCUSDT,,,,,,,,,,importance,f2_cont,Bollinger Position,0.0768,2.0
BTCUSDT,,,,,,,,,,importance,f8_lag14,Momentum 14d ago,0.0744,3.0
BTCUSDT,,,,,,,,,,importance,f1_cont,RSI (continuous),0.0738,4.0
BTCUSDT,,,,,,,,,,importance,f13_cont,MVRV Valuation,0.0725,5.0
BTCUSDT,,,,,,,,,,importance,f13_lag14,MVRV 14d ago,0.0699,6.0
BTCUSDT,,,,,,,,,,importance,f13_lag7,MVRV 7d ago,0.0673,7.0
BTCUSDT,,,,,,,,,,importance,f12_cont,Turbulence Calm,0.0663,8.0
BTCUSDT,,,,,,,,,,importance,f11_cont,Active Addresses,0.0662,9.0
BTCUSDT,,,,,,,,,,importance,f12_lag7,Turbulence Calm 7d ago,0.0617,10.0
BTCUSDT,,,,,,,,,,importance,f8_cont,Price Momentum,0.0613,11.0
